customer_id,tenure_months,login_frequency,monthly_charges,R_score,F_score,M_score,RFM_score,customer_segment
C10146,31,6,1022.68,5,1,5,11,Loyal
C10147,21,14,618.34,3,2,3,8,Potential Loyal
C10149,20,17,360.92,3,3,1,7,Potential Loyal
C10150,17,12,318.23,3,2,1,6,At Risk
C10151,16,22,380.16,3,4,1,8,Potential Loyal
C10153,13,30,449.18,2,5,2,9,Potential Loyal
C10155,20,10,623.85,3,2,3,8,Potential Loyal
C10156,2,16,496.94,1,3,3,7,Potential Loyal
C10157,16,13,1448.14,3,2,5,10,Loyal
C10158,3,22,887.34,1,4,4,9,Potential Loyal
C10159,23,14,441.94,4,2,2,8,Potential Loyal
C10160,29,23,714.3,4,5,3,12,Loyal
C10161,29,1,430.54,4,1,2,7,Potential Loyal
C10162,3,17,483.69,1,3,3,7,Potential Loyal
C10163,18,5,338.88,3,1,1,5,At Risk
C10164,13,17,359.78,2,3,1,6,At Risk
C10165,2,24,488.18,1,5,3,9,Potential Loyal
C10166,31,22,1288.53,5,4,5,14,High Value
C10167,4,16,732.56,1,3,4,8,Potential Loyal
C10168,0,15,706.4,1,3,3,7,Potential Loyal
C10169,28,15,307.13,4,3,1,8,Potential Loyal
C10170,30,27,831.65,5,5,4,14,High Value
C10172,9,19,473.62,2,4,2,8,Potential Loyal
C10173,33,8,441.62,5,1,2,8,Potential Loyal
C10174,4,24,684.18,1,5,3,9,Potential Loyal
C10175,2,19,622.18,1,4,3,8,Potential Loyal
C10176,18,17,880.37,3,3,4,10,Loyal
C10177,8,23,1049.23,2,5,5,12,Loyal
C10179,30,10,690.86,5,2,3,10,Loyal
C10180,23,22,498.06,4,4,3,11,Loyal
C10181,35,23,1106.88,5,5,5,15,High Value
C10182,4,23,731.68,1,5,4,10,Loyal
C10183,10,22,1350.68,2,4,5,11,Loyal
C10184,32,23,616.32,5,5,3,13,High Value
C10185,28,1,1130.27,4,1,5,10,Loyal
C10186,7,13,345.38,1,2,1,4,Low Engagement
C10187,18,24,381.85,3,5,1,9,Potential Loyal
C10189,16,13,349.21,3,2,1,6,At Risk
C10195,13,6,450.92,2,1,2,5,At Risk
C10197,11,25,472.03,2,5,2,9,Potential Loyal
C10198,13,14,605.28,2,2,3,7,Potential Loyal
C10200,9,27,1164.58,2,5,5,12,Loyal
C10202,12,24,459.95,2,5,2,9,Potential Loyal
C10203,35,8,688.27,5,1,3,9,Potential Loyal
C10204,34,21,417.67,5,4,2,11,Loyal
C10206,7,24,746.29,1,5,4,10,Loyal
C10207,36,18,490.84,5,3,3,11,Loyal
C10209,22,16,313.62,3,3,1,7,Potential Loyal
C10210,34,11,434.22,5,2,2,9,Potential Loyal
C10211,8,24,362.59,2,5,1,8,Potential Loyal
C10213,8,26,368.2,2,5,1,8,Potential Loyal
C10214,7,17,422.38,1,3,2,6,At Risk
C10215,7,2,383.08,1,1,1,3,Low Engagement
C10216,2,21,330.59,1,4,1,6,At Risk
C10217,30,20,1135.92,5,4,5,14,High Value
C10218,6,6,845.41,1,1,4,6,At Risk
C10220,27,16,346.67,4,3,1,8,Potential Loyal
C10221,9,22,654.93,2,4,3,9,Potential Loyal
C10222,4,5,809.42,1,1,4,6,At Risk
C10223,7,5,896.36,1,1,4,6,At Risk
C10226,4,12,873.93,1,2,4,7,Potential Loyal
C10228,20,22,847.19,3,4,4,11,Loyal
C10229,19,24,409.2,3,5,2,10,Loyal
C10231,11,29,478.15,2,5,3,10,Loyal
C10233,25,18,358.66,4,3,1,8,Potential Loyal
C10235,22,0,1347.25,3,1,5,9,Potential Loyal
C10237,16,14,417.98,3,2,2,7,Potential Loyal
C10238,20,14,1469.1,3,2,5,10,Loyal
C10239,26,9,490.29,4,1,3,8,Potential Loyal
C10240,16,3,307.46,3,1,1,5,At Risk
C10241,32,9,673.48,5,1,3,9,Potential Loyal
C10242,16,9,460.28,3,1,2,6,At Risk
C10243,13,20,1367.37,2,4,5,11,Loyal
C10244,27,21,411.65,4,4,2,10,Loyal
C10245,10,25,726.71,2,5,3,10,Loyal
C10247,33,20,697.54,5,4,3,12,Loyal
C10249,33,10,1050.94,5,2,5,12,Loyal
C10250,13,4,616.97,2,1,3,6,At Risk
C10251,18,14,365.7,3,2,1,6,At Risk
C10252,1,27,471.52,1,5,2,8,Potential Loyal
C10253,13,18,459.43,2,3,2,7,Potential Loyal
C10254,22,23,459.61,3,5,2,10,Loyal
C10255,2,24,1095.8,1,5,5,11,Loyal
C10256,15,12,1489.07,2,2,5,9,Potential Loyal
C10258,35,16,1034.91,5,3,5,13,High Value
C10259,18,13,1425.49,3,2,5,10,Loyal
C10260,2,28,791.35,1,5,4,10,Loyal
C10261,25,20,432.07,4,4,2,10,Loyal
C10262,8,14,804.17,2,2,4,8,Potential Loyal
C10263,17,31,375.2,3,5,1,9,Potential Loyal
C10264,25,6,1008.9,4,1,5,10,Loyal
C10265,31,15,357.36,5,3,1,9,Potential Loyal
C10266,18,5,388.71,3,1,2,6,At Risk
C10267,3,14,675.68,1,2,3,6,At Risk
C10268,30,25,1001.37,5,5,4,14,High Value
C10269,20,18,616.0,3,3,3,9,Potential Loyal
C10272,1,15,351.26,1,3,1,5,At Risk
C10274,32,15,456.57,5,3,2,10,Loyal
C10275,3,25,881.9,1,5,4,10,Loyal
C10276,26,22,670.42,4,4,3,11,Loyal
C10277,3,18,816.7,1,3,4,8,Potential Loyal
C10278,24,11,690.23,4,2,3,9,Potential Loyal
C10279,3,20,325.58,1,4,1,6,At Risk
C10280,15,17,775.0,2,3,4,9,Potential Loyal
C10283,8,13,1439.44,2,2,5,9,Potential Loyal
C10284,33,29,334.74,5,5,1,11,Loyal
C10285,26,16,319.24,4,3,1,8,Potential Loyal
C10288,28,21,440.63,4,4,2,10,Loyal
C10289,29,18,776.86,4,3,4,11,Loyal
C10290,18,5,832.41,3,1,4,8,Potential Loyal
C10291,25,6,780.53,4,1,4,9,Potential Loyal
C10292,14,13,613.89,2,2,3,7,Potential Loyal
C10293,19,5,401.66,3,1,2,6,At Risk
C10294,27,12,890.2,4,2,4,10,Loyal
C10295,9,22,1226.59,2,4,5,11,Loyal
C10296,11,23,1034.41,2,5,5,12,Loyal
C10298,33,15,767.2,5,3,4,12,Loyal
C10299,20,12,1283.17,3,2,5,10,Loyal
C10301,28,22,628.84,4,4,3,11,Loyal
C10302,35,25,1081.31,5,5,5,15,High Value
C10303,3,17,1004.98,1,3,4,8,Potential Loyal
C10304,3,25,472.04,1,5,2,8,Potential Loyal
C10305,36,16,893.18,5,3,4,12,Loyal
C10306,7,18,403.3,1,3,2,6,At Risk
C10307,0,17,385.56,1,3,1,5,At Risk
C10309,19,21,1345.91,3,4,5,12,Loyal
C10310,31,8,353.41,5,1,1,7,Potential Loyal
C10313,9,17,1097.97,2,3,5,10,Loyal
C10314,24,8,351.02,4,1,1,6,At Risk
C10316,16,21,300.16,3,4,1,8,Potential Loyal
C10318,30,10,847.34,5,2,4,11,Loyal
C10319,4,10,1460.48,1,2,5,8,Potential Loyal
C10321,6,12,360.46,1,2,1,4,Low Engagement
C10323,6,5,484.6,1,1,3,5,At Risk
C10325,31,2,1279.11,5,1,5,11,Loyal
C10328,26,12,457.04,4,2,2,8,Potential Loyal
C10331,15,18,459.37,2,3,2,7,Potential Loyal
C10332,34,15,1385.17,5,3,5,13,High Value
C10333,28,22,614.17,4,4,3,11,Loyal
C10334,28,25,425.1,4,5,2,11,Loyal
C10335,11,24,393.54,2,5,2,9,Potential Loyal
C10339,0,24,422.23,1,5,2,8,Potential Loyal
C10340,11,5,317.03,2,1,1,4,Low Engagement
C10341,17,9,692.12,3,1,3,7,Potential Loyal
C10342,10,2,449.6,2,1,2,5,At Risk
C10343,36,17,364.57,5,3,1,9,Potential Loyal
C10344,8,18,831.05,2,3,4,9,Potential Loyal
C10345,19,15,369.86,3,3,1,7,Potential Loyal
C10349,13,14,331.35,2,2,1,5,At Risk
C10351,3,15,413.81,1,3,2,6,At Risk
C10352,12,17,326.66,2,3,1,6,At Risk
C10353,32,18,385.22,5,3,1,9,Potential Loyal
C10355,10,7,344.3,2,1,1,4,Low Engagement
C10356,32,27,896.04,5,5,4,14,High Value
C10358,20,11,1003.64,3,2,4,9,Potential Loyal
C10359,12,25,805.79,2,5,4,11,Loyal
C10360,9,10,799.37,2,2,4,8,Potential Loyal
C10361,12,28,301.51,2,5,1,8,Potential Loyal
C10362,10,26,649.63,2,5,3,10,Loyal
C10363,34,3,1060.94,5,1,5,11,Loyal
C10364,29,23,1360.67,4,5,5,14,High Value
C10365,32,22,387.02,5,4,1,10,Loyal
C10367,11,14,380.33,2,2,1,5,At Risk
C10372,0,2,339.39,1,1,1,3,Low Engagement
C10373,0,22,372.99,1,4,1,6,At Risk
C10375,2,12,322.46,1,2,1,4,Low Engagement
C10376,10,15,1048.42,2,3,5,10,Loyal
C10377,18,29,479.62,3,5,3,11,Loyal
C10378,15,10,749.82,2,2,4,8,Potential Loyal
C10379,10,21,397.55,2,4,2,8,Potential Loyal
C10380,27,5,462.03,4,1,2,7,Potential Loyal
C10381,16,12,357.16,3,2,1,6,At Risk
C10382,13,16,670.53,2,3,3,8,Potential Loyal
C10383,21,17,420.08,3,3,2,8,Potential Loyal
C10384,10,7,306.59,2,1,1,4,Low Engagement
C10385,22,1,642.16,3,1,3,7,Potential Loyal
C10386,23,24,825.55,4,5,4,13,High Value
C10387,26,9,1362.71,4,1,5,10,Loyal
C10388,21,24,892.9,3,5,4,12,Loyal
C10389,15,11,1184.87,2,2,5,9,Potential Loyal
C10391,20,21,609.41,3,4,3,10,Loyal
C10395,10,8,363.34,2,1,1,4,Low Engagement
C10396,9,27,350.45,2,5,1,8,Potential Loyal
C10398,25,12,665.39,4,2,3,9,Potential Loyal
C10399,7,12,329.14,1,2,1,4,Low Engagement
C10400,36,1,870.46,5,1,4,10,Loyal
C10401,29,21,433.76,4,4,2,10,Loyal
C10402,12,9,632.01,2,1,3,6,At Risk
C10403,17,16,1436.19,3,3,5,11,Loyal
C10404,14,0,304.41,2,1,1,4,Low Engagement
C10405,30,12,709.98,5,2,3,10,Loyal
C10406,33,11,320.51,5,2,1,8,Potential Loyal
C10407,14,6,1263.0,2,1,5,8,Potential Loyal
C10410,5,17,416.43,1,3,2,6,At Risk
C10412,27,3,864.04,4,1,4,9,Potential Loyal
C10414,20,10,458.38,3,2,2,7,Potential Loyal
C10415,12,22,459.15,2,4,2,8,Potential Loyal
C10416,8,27,650.57,2,5,3,10,Loyal
C10417,34,19,728.2,5,4,3,12,Loyal
C10418,27,13,1216.3,4,2,5,11,Loyal
C10419,4,22,801.86,1,4,4,9,Potential Loyal
C10421,5,0,897.55,1,1,4,6,At Risk
C10423,14,14,453.7,2,2,2,6,At Risk
C10424,21,17,431.79,3,3,2,8,Potential Loyal
C10425,0,20,869.87,1,4,4,9,Potential Loyal
C10427,3,12,1122.43,1,2,5,8,Potential Loyal
C10428,26,15,469.79,4,3,2,9,Potential Loyal
C10429,24,11,411.15,4,2,2,8,Potential Loyal
C10430,34,30,666.03,5,5,3,13,High Value
C10432,36,28,498.53,5,5,3,13,High Value
C10433,33,12,1285.54,5,2,5,12,Loyal
C10434,10,15,1017.68,2,3,5,10,Loyal
C10435,15,20,1368.45,2,4,5,11,Loyal
C10436,24,6,378.26,4,1,1,6,At Risk
C10437,11,14,1472.91,2,2,5,9,Potential Loyal
C10439,33,4,1149.57,5,1,5,11,Loyal
C10440,31,20,1228.8,5,4,5,14,High Value
C10441,16,11,397.47,3,2,2,7,Potential Loyal
C10442,21,15,498.6,3,3,3,9,Potential Loyal
C10443,30,9,416.55,5,1,2,8,Potential Loyal
C10444,21,4,874.17,3,1,4,8,Potential Loyal
C10445,4,31,305.17,1,5,1,7,Potential Loyal
C10446,28,23,331.49,4,5,1,10,Loyal
C10447,29,22,757.32,4,4,4,12,Loyal
C10448,24,14,411.11,4,2,2,8,Potential Loyal
C10449,2,17,316.83,1,3,1,5,At Risk
C10450,23,28,1172.92,4,5,5,14,High Value
C10451,33,11,382.84,5,2,1,8,Potential Loyal
C10452,2,21,404.01,1,4,2,7,Potential Loyal
C10453,4,24,1400.44,1,5,5,11,Loyal
C10454,25,20,418.84,4,4,2,10,Loyal
C10455,23,18,459.14,4,3,2,9,Potential Loyal
C10456,22,23,1384.85,3,5,5,13,High Value
C10457,4,12,718.32,1,2,3,6,At Risk
C10458,4,14,756.48,1,2,4,7,Potential Loyal
C10459,5,9,315.41,1,1,1,3,Low Engagement
C10460,32,11,458.14,5,2,2,9,Potential Loyal
C10462,20,0,349.5,3,1,1,5,At Risk
C10463,15,19,363.17,2,4,1,7,Potential Loyal
C10464,18,11,877.49,3,2,4,9,Potential Loyal
C10465,14,24,841.4,2,5,4,11,Loyal
C10466,11,16,842.96,2,3,4,9,Potential Loyal
C10468,9,8,806.03,2,1,4,7,Potential Loyal
C10469,35,18,382.23,5,3,1,9,Potential Loyal
C10471,19,11,419.52,3,2,2,7,Potential Loyal
C10474,9,20,664.16,2,4,3,9,Potential Loyal
C10475,24,21,827.65,4,4,4,12,Loyal
C10476,1,11,667.71,1,2,3,6,At Risk
C10477,12,27,1181.1,2,5,5,12,Loyal
C10479,21,29,643.18,3,5,3,11,Loyal
C10480,19,24,853.53,3,5,4,12,Loyal
C10481,25,8,398.97,4,1,2,7,Potential Loyal
C10482,23,13,498.8,4,2,3,9,Potential Loyal
C10483,9,2,437.6,2,1,2,5,At Risk
C10484,28,5,719.28,4,1,3,8,Potential Loyal
C10486,35,24,462.64,5,5,2,12,Loyal
C10487,15,18,1092.39,2,3,5,10,Loyal
C10490,1,16,658.52,1,3,3,7,Potential Loyal
C10492,25,17,482.62,4,3,3,10,Loyal
C10493,13,13,327.31,2,2,1,5,At Risk
C10494,16,18,866.94,3,3,4,10,Loyal
C10495,22,14,1317.16,3,2,5,10,Loyal
C10496,11,4,390.67,2,1,2,5,At Risk
C10497,5,23,600.92,1,5,3,9,Potential Loyal
C10499,5,16,450.92,1,3,2,6,At Risk
C10500,21,8,388.72,3,1,2,6,At Risk
C10501,18,11,1391.05,3,2,5,10,Loyal
C10502,10,26,417.56,2,5,2,9,Potential Loyal
C10503,23,3,631.6,4,1,3,8,Potential Loyal
C10507,2,0,656.73,1,1,3,5,At Risk
C10508,36,6,1068.07,5,1,5,11,Loyal
C10511,27,22,357.12,4,4,1,9,Potential Loyal
C10513,31,12,809.18,5,2,4,11,Loyal
C10516,27,15,457.69,4,3,2,9,Potential Loyal
C10517,26,16,659.88,4,3,3,10,Loyal
C10518,26,14,463.75,4,2,2,8,Potential Loyal
C10520,28,19,466.12,4,4,2,10,Loyal
C10521,4,16,786.15,1,3,4,8,Potential Loyal
C10522,7,19,658.45,1,4,3,8,Potential Loyal
C10523,17,8,624.34,3,1,3,7,Potential Loyal
C10524,20,18,403.15,3,3,2,8,Potential Loyal
C10526,5,9,700.85,1,1,3,5,At Risk
C10529,10,15,896.48,2,3,4,9,Potential Loyal
C10530,1,16,885.89,1,3,4,8,Potential Loyal
C10531,15,14,1308.85,2,2,5,9,Potential Loyal
C10532,33,0,439.57,5,1,2,8,Potential Loyal
C10534,7,8,313.33,1,1,1,3,Low Engagement
C10535,5,15,382.76,1,3,1,5,At Risk
C10536,35,18,776.18,5,3,4,12,Loyal
C10537,11,18,347.46,2,3,1,6,At Risk
C10538,35,23,863.61,5,5,4,14,High Value
C10539,19,20,385.3,3,4,1,8,Potential Loyal
C10541,26,30,337.5,4,5,1,10,Loyal
C10542,31,10,704.42,5,2,3,10,Loyal
C10543,5,17,1193.87,1,3,5,9,Potential Loyal
C10544,10,34,1222.17,2,5,5,12,Loyal
C10545,19,21,351.61,3,4,1,8,Potential Loyal
C10546,22,14,342.36,3,2,1,6,At Risk
C10547,10,10,384.91,2,2,1,5,At Risk
C10548,5,11,429.19,1,2,2,5,At Risk
C10549,13,11,708.93,2,2,3,7,Potential Loyal
C10550,19,22,658.11,3,4,3,10,Loyal
C10551,2,17,1477.33,1,3,5,9,Potential Loyal
C10552,12,30,875.95,2,5,4,11,Loyal
C10553,23,14,415.19,4,2,2,8,Potential Loyal
C10554,3,10,715.72,1,2,3,6,At Risk
C10555,27,7,1498.43,4,1,5,10,Loyal
C10556,2,12,358.13,1,2,1,4,Low Engagement
C10558,28,10,720.23,4,2,3,9,Potential Loyal
C10559,36,28,894.45,5,5,4,14,High Value
C10561,13,23,325.94,2,5,1,8,Potential Loyal
C10563,13,13,350.99,2,2,1,5,At Risk
C10564,33,17,1276.73,5,3,5,13,High Value
C10566,26,24,756.45,4,5,4,13,High Value
C10568,28,18,401.95,4,3,2,9,Potential Loyal
C10569,12,7,743.39,2,1,4,7,Potential Loyal
C10570,25,20,604.41,4,4,3,11,Loyal
C10571,35,3,417.8,5,1,2,8,Potential Loyal
C10572,22,8,1180.97,3,1,5,9,Potential Loyal
C10573,34,7,461.04,5,1,2,8,Potential Loyal
C10576,35,12,329.57,5,2,1,8,Potential Loyal
C10577,1,24,602.97,1,5,3,9,Potential Loyal
C10578,27,19,760.83,4,4,4,12,Loyal
C10580,31,5,335.5,5,1,1,7,Potential Loyal
C10581,10,17,682.26,2,3,3,8,Potential Loyal
C10583,35,10,312.49,5,2,1,8,Potential Loyal
C10585,8,17,861.83,2,3,4,9,Potential Loyal
C10587,7,20,1258.53,1,4,5,10,Loyal
C10588,30,27,465.01,5,5,2,12,Loyal
C10589,12,30,358.93,2,5,1,8,Potential Loyal
C10591,15,12,404.23,2,2,2,6,At Risk
C10592,3,29,773.74,1,5,4,10,Loyal
C10594,0,3,1053.67,1,1,5,7,Potential Loyal
C10595,8,22,1253.96,2,4,5,11,Loyal
C10596,21,21,369.03,3,4,1,8,Potential Loyal
C10597,13,22,371.64,2,4,1,7,Potential Loyal
C10598,22,13,332.69,3,2,1,6,At Risk
C10599,16,13,309.9,3,2,1,6,At Risk
C10602,8,18,1371.36,2,3,5,10,Loyal
C10603,3,23,305.26,1,5,1,7,Potential Loyal
C10604,14,25,790.41,2,5,4,11,Loyal
C10605,17,5,673.96,3,1,3,7,Potential Loyal
C10606,33,16,455.75,5,3,2,10,Loyal
C10607,30,6,355.36,5,1,1,7,Potential Loyal
C10609,24,14,718.86,4,2,3,9,Potential Loyal
C10610,4,18,651.39,1,3,3,7,Potential Loyal
C10612,21,0,861.42,3,1,4,8,Potential Loyal
C10613,20,17,1271.4,3,3,5,11,Loyal
C10615,3,10,1497.22,1,2,5,8,Potential Loyal
C10616,30,21,790.23,5,4,4,13,High Value
C10618,18,21,650.91,3,4,3,10,Loyal
C10619,5,1,753.29,1,1,4,6,At Risk
C10620,0,9,470.26,1,1,2,4,Low Engagement
C10622,8,9,1376.16,2,1,5,8,Potential Loyal
C10626,27,13,433.27,4,2,2,8,Potential Loyal
C10627,19,11,1387.19,3,2,5,10,Loyal
C10628,3,15,1301.7,1,3,5,9,Potential Loyal
C10629,4,11,423.99,1,2,2,5,At Risk
C10630,8,29,610.97,2,5,3,10,Loyal
C10632,33,1,360.77,5,1,1,7,Potential Loyal
C10633,29,17,601.98,4,3,3,10,Loyal
C10634,18,10,1069.09,3,2,5,10,Loyal
C10635,7,0,310.79,1,1,1,3,Low Engagement
C10636,33,9,649.69,5,1,3,9,Potential Loyal
C10638,10,12,384.55,2,2,1,5,At Risk
C10641,16,31,601.53,3,5,3,11,Loyal
C10642,21,19,826.71,3,4,4,11,Loyal
C10643,10,5,350.33,2,1,1,4,Low Engagement
C10645,30,22,410.85,5,4,2,11,Loyal
C10646,29,12,754.96,4,2,4,10,Loyal
C10648,2,16,343.12,1,3,1,5,At Risk
C10649,15,13,1098.64,2,2,5,9,Potential Loyal
C10650,13,18,454.86,2,3,2,7,Potential Loyal
C10651,2,17,492.63,1,3,3,7,Potential Loyal
C10652,12,8,1249.34,2,1,5,8,Potential Loyal
C10653,30,17,804.07,5,3,4,12,Loyal
C10655,22,16,350.24,3,3,1,7,Potential Loyal
C10656,19,8,1385.03,3,1,5,9,Potential Loyal
C10657,7,13,720.01,1,2,3,6,At Risk
C10658,31,18,864.76,5,3,4,12,Loyal
C10659,19,26,475.34,3,5,2,10,Loyal
C10660,24,22,1221.23,4,4,5,13,High Value
C10661,18,19,489.76,3,4,3,10,Loyal
C10662,17,0,440.21,3,1,2,6,At Risk
C10663,28,22,455.97,4,4,2,10,Loyal
C10664,16,10,437.6,3,2,2,7,Potential Loyal
C10665,28,15,1112.46,4,3,5,12,Loyal
C10667,14,13,745.81,2,2,4,8,Potential Loyal
C10668,23,5,325.73,4,1,1,6,At Risk
C10669,1,16,800.14,1,3,4,8,Potential Loyal
C10670,35,17,858.46,5,3,4,12,Loyal
C10671,12,9,448.23,2,1,2,5,At Risk
C10672,21,17,838.33,3,3,4,10,Loyal
C10673,15,15,410.16,2,3,2,7,Potential Loyal
C10675,27,30,488.95,4,5,3,12,Loyal
C10677,34,13,1408.69,5,2,5,12,Loyal
C10678,33,14,800.21,5,2,4,11,Loyal
C10679,12,27,446.82,2,5,2,9,Potential Loyal
C10680,22,10,1188.6,3,2,5,10,Loyal
C10681,17,21,482.65,3,4,3,10,Loyal
C10682,16,19,785.59,3,4,4,11,Loyal
C10684,2,11,464.38,1,2,2,5,At Risk
C10685,1,11,382.84,1,2,1,4,Low Engagement
C10686,25,16,1432.43,4,3,5,12,Loyal
C10688,28,8,462.38,4,1,2,7,Potential Loyal
C10689,35,11,449.08,5,2,2,9,Potential Loyal
C10691,17,13,393.11,3,2,2,7,Potential Loyal
C10692,12,22,429.9,2,4,2,8,Potential Loyal
C10695,19,17,1349.9,3,3,5,11,Loyal
C10696,9,16,427.41,2,3,2,7,Potential Loyal
C10697,26,13,421.53,4,2,2,8,Potential Loyal
C10698,19,19,835.88,3,4,4,11,Loyal
C10699,4,8,669.96,1,1,3,5,At Risk
C10700,7,5,432.07,1,1,2,4,Low Engagement
C10701,19,11,336.17,3,2,1,6,At Risk
C10702,9,15,488.94,2,3,3,8,Potential Loyal
C10703,0,18,734.0,1,3,4,8,Potential Loyal
C10704,12,27,310.41,2,5,1,8,Potential Loyal
C10705,33,28,418.51,5,5,2,12,Loyal
C10706,5,17,898.62,1,3,4,8,Potential Loyal
C10707,16,29,710.06,3,5,3,11,Loyal
