transaction_id,customer_id,transaction_date,amount,payment_status
T100047,C10003,2025-07-01,1040.77,Paid
T100048,C10003,2025-07-31,1055.9,Paid
T100049,C10003,2025-08-30,1077.94,Paid
T100050,C10003,2025-09-29,1027.7,Paid
T100051,C10003,2025-10-29,1096.43,Paid
T100052,C10003,2025-11-28,1046.44,Paid
T100053,C10003,2025-12-28,1122.9,Paid
T100054,C10003,2026-01-27,1055.07,Failed
T100055,C10003,2026-02-26,1064.93,Paid
T100056,C10003,2026-03-28,1078.6,Paid
T100057,C10003,2026-04-27,1097.84,Paid
T100058,C10003,2026-05-27,1067.49,Paid
T100059,C10003,2026-06-26,1034.16,Paid
T100060,C10003,2026-07-26,1060.35,Paid
T100061,C10004,2026-05-14,1366.72,Paid
T100062,C10004,2026-06-13,1242.46,Paid
T100063,C10004,2026-07-13,1366.96,Paid
T100064,C10004,2026-08-12,1328.36,Paid
T100065,C10005,2023-10-25,1437.52,Paid
T100066,C10005,2023-11-24,1397.63,Failed
T100067,C10005,2023-12-24,1365.29,Paid
T100068,C10005,2024-01-23,1454.21,Paid
T100069,C10005,2024-02-22,1477.85,Paid
T100070,C10005,2024-03-23,1366.28,Paid
T100071,C10005,2024-04-22,1490.14,Paid
T100072,C10005,2024-05-22,1419.24,Paid
T100073,C10005,2024-06-21,1493.94,Failed
T100074,C10005,2024-07-21,1471.73,Paid
T100075,C10005,2024-08-20,1446.9,Paid
T100076,C10005,2024-09-19,1465.86,Failed
T100077,C10005,2024-10-19,1371.89,Paid
T100078,C10005,2024-11-18,1364.82,Refunded
T100079,C10005,2024-12-18,1483.3,Paid
T100080,C10005,2025-01-17,1364.97,Paid
T100081,C10005,2025-02-16,1363.28,Paid
T100082,C10005,2025-03-18,1457.65,Paid
T100083,C10005,2025-04-17,1477.83,Paid
T100084,C10005,2025-05-17,1417.48,Paid
T100085,C10005,2025-06-16,1417.3,Paid
T100086,C10005,2025-07-16,1397.15,Failed
T100087,C10005,2025-08-15,1410.59,Paid
T100088,C10005,2025-09-14,1446.85,Paid
T100089,C10005,2025-10-14,1434.69,Paid
T100090,C10005,2025-11-13,1398.36,Paid
T100091,C10005,2025-12-13,1388.76,Paid
T100092,C10005,2026-01-12,1425.9,Paid
T100093,C10005,2026-02-11,1456.87,Paid
T100094,C10005,2026-03-13,1429.5,Paid
T100095,C10005,2026-04-12,1462.86,Paid
T100096,C10005,2026-05-12,1428.81,Paid
T100097,C10005,2026-06-11,1490.73,Paid
T100098,C10005,2026-07-11,1366.4,Paid
T100099,C10005,2026-08-10,1482.31,Refunded
T100100,C10006,2025-06-08,815.15,Paid
T100101,C10006,2025-07-08,825.83,Paid
T100102,C10006,2025-08-07,818.41,Paid
T100103,C10006,2025-09-06,781.35,Failed
T100104,C10006,2025-10-06,773.31,Paid
T100105,C10006,2025-11-05,783.04,Paid
T100106,C10006,2025-12-05,808.73,Paid
T100107,C10006,2026-01-04,809.9,Paid
T100108,C10006,2026-02-03,809.58,Paid
T100109,C10006,2026-03-05,803.64,Paid
T100110,C10007,2025-05-24,660.32,Paid
T100111,C10007,2025-06-23,682.64,Failed
T100112,C10007,2025-07-23,717.39,Paid
T100113,C10007,2025-08-22,725.36,Paid
T100114,C10007,2025-09-21,697.1,Paid
T100115,C10007,2025-10-21,690.05,Refunded
T100116,C10007,2025-11-20,687.04,Refunded
T100117,C10007,2025-12-20,726.2,Refunded
T100118,C10007,2026-01-19,689.59,Paid
T100119,C10007,2026-02-18,686.51,Paid
T100120,C10007,2026-03-20,708.81,Paid
T100121,C10007,2026-04-19,677.07,Paid
T100122,C10007,2026-05-19,707.99,Paid
T100123,C10007,2026-06-18,668.79,Paid
T100124,C10007,2026-07-18,667.0,Paid
T100125,C10007,2026-08-17,674.93,Paid
T100126,C10008,2025-01-08,343.66,Paid
T100127,C10008,2025-02-07,332.48,Paid
T100128,C10008,2025-03-09,334.51,Paid
T100129,C10008,2025-04-08,318.73,Failed
T100130,C10008,2025-05-08,329.9,Failed
T100131,C10008,2025-06-07,327.55,Paid
T100132,C10008,2025-07-07,322.92,Paid
T100133,C10008,2025-08-06,342.3,Paid
T100134,C10008,2025-09-05,328.1,Paid
T100135,C10008,2025-10-05,329.89,Paid
T100136,C10008,2025-11-04,316.77,Paid
T100137,C10008,2025-12-04,331.97,Paid
T100138,C10008,2026-01-03,331.7,Paid
T100139,C10008,2026-02-02,319.71,Paid
T100140,C10008,2026-03-04,343.79,Paid
T100141,C10008,2026-04-03,345.0,Paid
T100142,C10008,2026-05-03,313.78,Paid
T100143,C10008,2026-06-02,338.11,Failed
T100144,C10008,2026-07-02,318.78,Failed
T100145,C10008,2026-08-01,332.44,Paid
T100146,C10009,2023-12-01,1285.93,Paid
T100147,C10009,2023-12-31,1201.28,Paid
T100148,C10009,2024-01-30,1297.06,Paid
T100149,C10009,2024-02-29,1304.22,Paid
T100150,C10009,2024-03-30,1225.81,Paid
T100151,C10009,2024-04-29,1272.12,Paid
T100152,C10009,2024-05-29,1318.98,Paid
T100153,C10009,2024-06-28,1225.06,Refunded
T100154,C10009,2024-07-28,1221.81,Paid
T100155,C10009,2024-08-27,1235.07,Paid
T100156,C10009,2024-09-26,1291.66,Failed
T100157,C10009,2024-10-26,1235.86,Paid
T100158,C10009,2024-11-25,1291.48,Paid
T100159,C10009,2024-12-25,1211.99,Paid
T100160,C10009,2025-01-24,1317.94,Paid
T100161,C10009,2025-02-23,1319.0,Paid
T100162,C10009,2025-03-25,1316.92,Paid
T100163,C10009,2025-04-24,1206.36,Paid
T100164,C10009,2025-05-24,1272.5,Paid
T100165,C10009,2025-06-23,1287.96,Paid
T100166,C10009,2025-07-23,1278.74,Paid
T100167,C10009,2025-08-22,1230.23,Refunded
T100168,C10009,2025-09-21,1275.76,Paid
T100169,C10009,2025-10-21,1197.31,Paid
T100170,C10009,2025-11-20,1297.0,Paid
T100171,C10009,2025-12-20,1258.58,Paid
T100172,C10009,2026-01-19,1255.23,Paid
T100173,C10009,2026-02-18,1200.51,Failed
T100174,C10009,2026-03-20,1253.04,Paid
T100175,C10009,2026-04-19,1253.89,Paid
T100176,C10009,2026-05-19,1302.48,Paid
T100177,C10009,2026-06-18,1269.3,Paid
T100178,C10009,2026-07-18,1288.22,Refunded
T100179,C10009,2026-08-17,1230.98,Paid
T100180,C10010,2025-06-13,373.43,Paid
T100181,C10010,2025-07-13,377.09,Paid
T100182,C10010,2025-08-12,372.04,Paid
T100183,C10010,2025-09-11,390.33,Paid
T100184,C10010,2025-10-11,358.39,Paid
T100185,C10010,2025-11-10,391.33,Paid
T100186,C10010,2025-12-10,365.27,Paid
T100187,C10010,2026-01-09,390.97,Paid
T100188,C10010,2026-02-08,365.33,Paid
T100189,C10010,2026-03-10,386.46,Paid
T100190,C10010,2026-04-09,375.66,Paid
T100191,C10010,2026-05-09,362.69,Paid
T100192,C10010,2026-06-08,385.07,Paid
T100193,C10011,2024-10-17,1016.17,Paid
T100194,C10011,2024-11-16,1025.71,Paid
T100195,C10011,2024-12-16,1006.45,Refunded
T100196,C10011,2025-01-15,1079.78,Paid
T100197,C10011,2025-02-14,1068.19,Failed
T100198,C10011,2025-03-16,1023.6,Paid
T100199,C10011,2025-04-15,1066.03,Failed
T100200,C10011,2025-05-15,1072.39,Paid
T100201,C10011,2025-06-14,1034.14,Failed
T100202,C10011,2025-07-14,986.06,Paid
T100203,C10011,2025-08-13,1014.28,Paid
T100204,C10011,2025-09-12,1028.92,Paid
T100205,C10011,2025-10-12,986.66,Paid
T100206,C10012,2024-03-08,647.26,Failed
T100207,C10012,2024-04-07,630.04,Refunded
T100208,C10012,2024-05-07,636.87,Paid
T100209,C10012,2024-06-06,648.04,Paid
T100210,C10012,2024-07-06,648.37,Paid
T100211,C10012,2024-08-05,660.51,Paid
T100212,C10012,2024-09-04,638.07,Paid
T100213,C10012,2024-10-04,670.29,Paid
T100214,C10012,2024-11-03,668.4,Paid
T100215,C10012,2024-12-03,675.21,Paid
T100216,C10012,2025-01-02,646.38,Paid
T100217,C10012,2025-02-01,659.54,Paid
T100218,C10012,2025-03-03,635.27,Paid
T100219,C10012,2025-04-02,679.88,Paid
T100220,C10012,2025-05-02,654.42,Paid
T100221,C10012,2025-06-01,639.84,Paid
T100222,C10012,2025-07-01,646.69,Paid
T100223,C10012,2025-07-31,638.2,Paid
T100224,C10012,2025-08-30,647.02,Paid
T100225,C10012,2025-09-29,668.46,Paid
T100226,C10012,2025-10-29,671.57,Paid
T100227,C10012,2025-11-28,677.98,Paid
T100228,C10012,2025-12-28,647.72,Paid
T100229,C10012,2026-01-27,623.05,Paid
T100230,C10012,2026-02-26,623.14,Paid
T100231,C10012,2026-03-28,679.46,Paid
T100232,C10012,2026-04-27,666.28,Paid
T100233,C10012,2026-05-27,634.48,Paid
T100234,C10012,2026-06-26,668.73,Paid
T100235,C10012,2026-07-26,656.24,Paid
T100236,C10013,2026-03-30,315.04,Paid
T100237,C10013,2026-04-29,334.21,Paid
T100238,C10013,2026-05-29,314.26,Paid
T100239,C10013,2026-06-28,321.19,Paid
T100240,C10013,2026-07-28,310.78,Paid
T100241,C10014,2025-03-17,382.68,Paid
T100242,C10014,2025-04-16,365.99,Paid
T100243,C10014,2025-05-16,375.89,Paid
T100244,C10014,2025-06-15,382.63,Refunded
T100245,C10014,2025-07-15,385.32,Paid
T100246,C10014,2025-08-14,370.69,Paid
T100247,C10014,2025-09-13,380.81,Paid
T100248,C10014,2025-10-13,367.16,Paid
T100249,C10015,2025-07-22,407.89,Paid
T100250,C10015,2025-08-21,420.36,Paid
T100251,C10015,2025-09-20,415.32,Paid
T100252,C10015,2025-10-20,393.09,Paid
T100253,C10015,2025-11-19,419.83,Paid
T100254,C10015,2025-12-19,426.54,Paid
T100255,C10015,2026-01-18,420.09,Paid
T100256,C10015,2026-02-17,390.57,Paid
T100257,C10015,2026-03-19,418.03,Paid
T100258,C10015,2026-04-18,399.83,Paid
T100259,C10015,2026-05-18,391.74,Paid
T100260,C10015,2026-06-17,418.55,Paid
T100261,C10015,2026-07-17,422.28,Failed
T100262,C10015,2026-08-16,421.0,Paid
T100263,C10016,2025-09-26,1033.33,Paid
T100264,C10016,2025-10-26,1069.6,Paid
T100265,C10016,2025-11-25,1000.68,Paid
T100266,C10016,2025-12-25,1013.74,Paid
T100267,C10016,2026-01-24,1065.94,Paid
T100268,C10016,2026-02-23,1032.22,Paid
T100269,C10016,2026-03-25,1031.29,Paid
T100270,C10016,2026-04-24,996.0,Paid
T100271,C10016,2026-05-24,1057.32,Failed
T100272,C10016,2026-06-23,981.08,Paid
T100273,C10016,2026-07-23,1012.37,Paid
T100274,C10016,2026-08-22,1020.84,Paid
T100275,C10017,2026-02-21,345.72,Paid
T100276,C10017,2026-03-23,338.25,Paid
T100277,C10018,2024-02-22,855.07,Paid
T100278,C10018,2024-03-23,930.28,Paid
T100279,C10018,2024-04-22,907.77,Paid
T100280,C10018,2024-05-22,918.76,Paid
T100281,C10018,2024-06-21,925.1,Paid
T100282,C10018,2024-07-21,924.16,Paid
T100283,C10018,2024-08-20,908.11,Paid
T100284,C10018,2024-09-19,869.25,Paid
T100285,C10018,2024-10-19,891.16,Paid
T100286,C10018,2024-11-18,857.38,Paid
T100287,C10018,2024-12-18,907.05,Paid
T100288,C10018,2025-01-17,853.71,Paid
T100289,C10018,2025-02-16,888.56,Paid
T100290,C10018,2025-03-18,920.88,Paid
T100291,C10018,2025-04-17,856.33,Paid
T100292,C10018,2025-05-17,918.65,Paid
T100293,C10018,2025-06-16,872.59,Paid
T100294,C10018,2025-07-16,885.46,Paid
T100295,C10018,2025-08-15,927.15,Paid
T100296,C10018,2025-09-14,937.45,Paid
T100297,C10018,2025-10-14,896.54,Paid
T100298,C10018,2025-11-13,923.99,Paid
T100299,C10018,2025-12-13,907.62,Paid
T100300,C10018,2026-01-12,920.01,Paid
T100301,C10018,2026-02-11,935.92,Paid
T100302,C10018,2026-03-13,915.07,Paid
T100303,C10018,2026-04-12,863.5,Paid
T100304,C10018,2026-05-12,868.73,Paid
T100305,C10018,2026-06-11,863.93,Paid
T100306,C10018,2026-07-11,921.73,Refunded
T100307,C10018,2026-08-10,897.34,Paid
T100308,C10019,2024-08-01,310.58,Paid
T100309,C10019,2024-08-31,301.42,Paid
T100310,C10019,2024-09-30,304.53,Paid
T100311,C10019,2024-10-30,311.58,Paid
T100312,C10019,2024-11-29,301.89,Paid
T100313,C10019,2024-12-29,318.66,Paid
T100314,C10019,2025-01-28,312.43,Paid
T100315,C10019,2025-02-27,320.07,Refunded
T100316,C10019,2025-03-29,323.2,Paid
T100317,C10019,2025-04-28,312.06,Paid
T100318,C10019,2025-05-28,309.57,Paid
T100319,C10019,2025-06-27,318.18,Paid
T100320,C10019,2025-07-27,303.74,Paid
T100321,C10019,2025-08-26,314.78,Paid
T100322,C10019,2025-09-25,305.78,Paid
T100323,C10019,2025-10-25,324.09,Paid
T100324,C10019,2025-11-24,311.34,Paid
T100325,C10019,2025-12-24,322.95,Paid
T100326,C10019,2026-01-23,314.71,Paid
T100327,C10019,2026-02-22,294.9,Paid
T100328,C10019,2026-03-24,306.38,Paid
T100329,C10019,2026-04-23,308.96,Paid
T100330,C10019,2026-05-23,323.3,Paid
T100331,C10019,2026-06-22,310.75,Paid
T100332,C10019,2026-07-22,297.43,Paid
T100333,C10019,2026-08-21,314.76,Paid
T100334,C10020,2025-07-25,1460.43,Paid
T100335,C10020,2025-08-24,1415.2,Paid
T100336,C10020,2025-09-23,1378.17,Refunded
T100337,C10021,2023-12-29,814.41,Paid
T100338,C10021,2024-01-28,853.59,Paid
T100339,C10021,2024-02-27,857.25,Paid
T100340,C10021,2024-03-28,843.95,Failed
T100341,C10021,2024-04-27,806.55,Paid
T100342,C10021,2024-05-27,845.61,Paid
T100343,C10021,2024-06-26,806.47,Paid
T100344,C10021,2024-07-26,832.19,Paid
T100345,C10021,2024-08-25,862.87,Paid
T100346,C10021,2024-09-24,866.27,Paid
T100347,C10021,2024-10-24,819.42,Paid
T100348,C10021,2024-11-23,862.71,Paid
T100349,C10021,2024-12-23,790.56,Paid
T100350,C10021,2025-01-22,859.79,Paid
T100351,C10021,2025-02-21,866.64,Paid
T100352,C10021,2025-03-23,821.7,Paid
T100353,C10021,2025-04-22,866.81,Paid
T100354,C10021,2025-05-22,868.59,Paid
T100355,C10021,2025-06-21,801.86,Paid
T100356,C10021,2025-07-21,810.76,Failed
T100357,C10021,2025-08-20,812.03,Paid
T100358,C10021,2025-09-19,866.37,Failed
T100359,C10021,2025-10-19,851.25,Paid
T100360,C10021,2025-11-18,839.84,Paid
T100361,C10021,2025-12-18,854.3,Paid
T100362,C10021,2026-01-17,858.22,Paid
T100363,C10021,2026-02-16,860.49,Paid
T100364,C10021,2026-03-18,815.17,Paid
T100365,C10021,2026-04-17,855.2,Paid
T100366,C10021,2026-05-17,843.53,Paid
T100367,C10021,2026-06-16,849.79,Paid
T100368,C10021,2026-07-16,792.9,Refunded
T100369,C10021,2026-08-15,854.19,Paid
T100370,C10022,2024-10-23,303.69,Paid
T100371,C10022,2024-11-22,318.81,Paid
T100372,C10022,2024-12-22,322.1,Paid
T100373,C10022,2025-01-21,312.61,Paid
T100374,C10022,2025-02-20,305.16,Failed
T100375,C10022,2025-03-22,296.38,Paid
T100376,C10022,2025-04-21,323.89,Paid
T100377,C10022,2025-05-21,305.31,Paid
T100378,C10023,2025-04-19,495.85,Paid
T100379,C10023,2025-05-19,488.39,Paid
T100380,C10023,2025-06-18,489.04,Paid
T100381,C10023,2025-07-18,475.28,Paid
T100382,C10023,2025-08-17,495.65,Paid
T100383,C10024,2024-05-16,817.21,Paid
T100384,C10024,2024-06-15,833.01,Paid
T100385,C10024,2024-07-15,825.7,Paid
T100386,C10024,2024-08-14,787.68,Failed
T100387,C10024,2024-09-13,784.54,Paid
T100388,C10024,2024-10-13,811.25,Paid
T100389,C10024,2024-11-12,836.12,Paid
T100390,C10024,2024-12-12,840.02,Failed
T100391,C10024,2025-01-11,838.32,Paid
T100392,C10024,2025-02-10,816.46,Paid
T100393,C10024,2025-03-12,828.45,Paid
T100394,C10024,2025-04-11,840.85,Paid
T100395,C10024,2025-05-11,812.39,Paid
T100396,C10024,2025-06-10,824.28,Paid
T100397,C10024,2025-07-10,820.68,Paid
T100398,C10024,2025-08-09,799.98,Paid
T100399,C10024,2025-09-08,824.13,Paid
T100400,C10024,2025-10-08,810.01,Paid
T100401,C10024,2025-11-07,788.06,Failed
T100402,C10024,2025-12-07,793.9,Paid
T100403,C10024,2026-01-06,837.8,Paid
T100404,C10024,2026-02-05,811.69,Paid
T100405,C10024,2026-03-07,790.42,Paid
T100406,C10024,2026-04-06,785.64,Paid
T100407,C10024,2026-05-06,801.6,Paid
T100408,C10024,2026-06-05,825.97,Paid
T100409,C10024,2026-07-05,824.15,Paid
T100410,C10024,2026-08-04,843.57,Paid
T100411,C10025,2024-04-09,863.9,Paid
T100412,C10025,2024-05-09,906.55,Paid
T100413,C10025,2024-06-08,905.16,Paid
T100414,C10025,2024-07-08,894.56,Paid
T100415,C10025,2024-08-07,823.36,Paid
T100416,C10025,2024-09-06,904.88,Refunded
T100417,C10025,2024-10-06,839.57,Paid
T100418,C10025,2024-11-05,883.38,Paid
T100419,C10025,2024-12-05,858.18,Paid
T100420,C10025,2025-01-04,843.25,Refunded
T100421,C10025,2025-02-03,836.09,Paid
T100422,C10025,2025-03-05,826.54,Paid
T100423,C10025,2025-04-04,830.58,Paid
T100424,C10025,2025-05-04,840.09,Paid
T100425,C10025,2025-06-03,885.66,Paid
T100426,C10025,2025-07-03,864.63,Paid
T100427,C10025,2025-08-02,850.89,Paid
T100428,C10025,2025-09-01,831.68,Paid
T100429,C10025,2025-10-01,833.75,Paid
T100430,C10025,2025-10-31,880.54,Paid
T100431,C10025,2025-11-30,874.21,Paid
T100432,C10025,2025-12-30,829.99,Paid
T100433,C10025,2026-01-29,893.66,Paid
T100434,C10025,2026-02-28,904.83,Paid
T100435,C10025,2026-03-30,823.24,Paid
T100436,C10025,2026-04-29,894.65,Paid
T100437,C10025,2026-05-29,858.01,Paid
T100438,C10025,2026-06-28,864.81,Paid
T100439,C10025,2026-07-28,845.89,Paid
T100440,C10026,2025-06-21,422.27,Paid
T100441,C10026,2025-07-21,404.77,Paid
T100442,C10026,2025-08-20,417.39,Paid
T100443,C10026,2025-09-19,430.37,Paid
T100444,C10026,2025-10-19,418.19,Paid
T100445,C10026,2025-11-18,416.12,Paid
T100446,C10026,2025-12-18,422.69,Paid
T100447,C10026,2026-01-17,402.26,Paid
T100448,C10026,2026-02-16,441.97,Paid
T100449,C10026,2026-03-18,409.7,Paid
T100450,C10026,2026-04-17,410.6,Paid
T100451,C10026,2026-05-17,435.32,Paid
T100452,C10026,2026-06-16,405.3,Paid
T100453,C10026,2026-07-16,408.01,Paid
T100454,C10026,2026-08-15,427.53,Paid
T100455,C10027,2026-04-15,1415.21,Paid
T100456,C10027,2026-05-15,1322.71,Paid
T100457,C10027,2026-06-14,1393.33,Paid
T100458,C10027,2026-07-14,1364.53,Paid
T100459,C10027,2026-08-13,1355.84,Paid
T100460,C10028,2024-03-24,337.19,Paid
T100461,C10028,2024-04-23,330.21,Paid
T100462,C10028,2024-05-23,324.61,Paid
T100463,C10028,2024-06-22,341.08,Paid
T100464,C10028,2024-07-22,319.26,Paid
T100465,C10028,2024-08-21,329.21,Failed
T100466,C10028,2024-09-20,337.61,Paid
T100467,C10028,2024-10-20,350.23,Paid
T100468,C10028,2024-11-19,327.35,Paid
T100469,C10028,2024-12-19,341.03,Paid
T100470,C10028,2025-01-18,343.23,Failed
T100471,C10028,2025-02-17,323.23,Paid
T100472,C10028,2025-03-19,337.46,Paid
T100473,C10028,2025-04-18,319.2,Paid
T100474,C10028,2025-05-18,336.79,Paid
T100475,C10028,2025-06-17,336.08,Paid
T100476,C10028,2025-07-17,336.29,Paid
T100477,C10028,2025-08-16,324.66,Paid
T100478,C10028,2025-09-15,322.06,Paid
T100479,C10028,2025-10-15,323.58,Paid
T100480,C10028,2025-11-14,336.05,Paid
T100481,C10028,2025-12-14,342.69,Refunded
T100482,C10028,2026-01-13,322.44,Paid
T100483,C10028,2026-02-12,334.24,Paid
T100484,C10028,2026-03-14,338.04,Paid
T100485,C10028,2026-04-13,338.24,Paid
T100486,C10028,2026-05-13,350.26,Paid
T100487,C10028,2026-06-12,326.41,Paid
T100488,C10028,2026-07-12,323.19,Paid
T100489,C10028,2026-08-11,351.39,Paid
T100490,C10029,2024-01-07,1310.77,Paid
T100491,C10029,2024-02-06,1275.16,Paid
T100492,C10029,2024-03-07,1329.22,Refunded
T100493,C10029,2024-04-06,1265.21,Failed
T100494,C10029,2024-05-06,1220.73,Paid
T100495,C10029,2024-06-05,1225.02,Paid
T100496,C10029,2024-07-05,1241.86,Paid
T100497,C10029,2024-08-04,1275.43,Refunded
T100498,C10029,2024-09-03,1258.88,Paid
T100499,C10029,2024-10-03,1271.96,Paid
T100500,C10029,2024-11-02,1239.01,Paid
T100501,C10029,2024-12-02,1259.31,Failed
T100502,C10029,2025-01-01,1333.0,Paid
T100503,C10029,2025-01-31,1330.17,Paid
T100504,C10029,2025-03-02,1222.64,Paid
T100505,C10029,2025-04-01,1243.11,Paid
T100506,C10029,2025-05-01,1219.7,Paid
T100507,C10029,2025-05-31,1273.41,Paid
T100508,C10029,2025-06-30,1264.24,Paid
T100509,C10030,2024-12-06,1217.0,Paid
T100510,C10030,2025-01-05,1185.18,Paid
T100511,C10030,2025-02-04,1192.27,Refunded
T100512,C10030,2025-03-06,1141.68,Paid
T100513,C10030,2025-04-05,1172.26,Paid
T100514,C10030,2025-05-05,1120.92,Paid
T100515,C10030,2025-06-04,1210.74,Paid
T100516,C10030,2025-07-04,1189.73,Paid
T100517,C10030,2025-08-03,1205.46,Paid
T100518,C10030,2025-09-02,1161.06,Paid
T100519,C10030,2025-10-02,1182.51,Paid
T100520,C10030,2025-11-01,1136.52,Paid
T100521,C10030,2025-12-01,1197.23,Paid
T100522,C10030,2025-12-31,1206.92,Paid
T100523,C10030,2026-01-30,1130.9,Paid
T100524,C10030,2026-03-01,1117.57,Paid
T100525,C10030,2026-03-31,1198.78,Refunded
T100526,C10030,2026-04-30,1156.8,Paid
T100527,C10030,2026-05-30,1208.52,Paid
T100528,C10030,2026-06-29,1192.27,Paid
T100529,C10030,2026-07-29,1165.31,Paid
T100530,C10031,2025-06-14,343.38,Paid
T100531,C10031,2025-07-14,343.14,Paid
T100532,C10031,2025-08-13,324.71,Paid
T100533,C10031,2025-09-12,337.61,Paid
T100534,C10031,2025-10-12,351.18,Paid
T100535,C10031,2025-11-11,331.98,Failed
T100536,C10031,2025-12-11,339.18,Paid
T100537,C10032,2026-01-07,404.56,Paid
T100538,C10032,2026-02-06,379.36,Paid
T100539,C10032,2026-03-08,385.06,Paid
T100540,C10032,2026-04-07,388.24,Refunded
T100541,C10032,2026-05-07,407.99,Paid
T100542,C10032,2026-06-06,399.69,Paid
T100543,C10032,2026-07-06,403.5,Paid
T100544,C10032,2026-08-05,382.75,Paid
T100545,C10033,2024-10-18,481.47,Paid
T100546,C10033,2024-11-17,499.41,Paid
T100547,C10033,2024-12-17,516.13,Paid
T100548,C10033,2025-01-16,514.93,Paid
T100549,C10033,2025-02-15,472.77,Paid
T100550,C10033,2025-03-17,500.01,Paid
T100551,C10033,2025-04-16,512.18,Paid
T100552,C10033,2025-05-16,484.77,Paid
T100553,C10033,2025-06-15,476.61,Paid
T100554,C10033,2025-07-15,496.95,Paid
T100555,C10033,2025-08-14,504.48,Paid
T100556,C10034,2025-02-20,489.54,Paid
T100557,C10034,2025-03-22,448.9,Paid
T100558,C10034,2025-04-21,471.63,Paid
T100559,C10034,2025-05-21,479.97,Paid
T100560,C10034,2025-06-20,467.62,Paid
T100561,C10034,2025-07-20,479.96,Paid
T100562,C10034,2025-08-19,483.06,Paid
T100563,C10034,2025-09-18,461.52,Paid
T100564,C10034,2025-10-18,471.29,Paid
T100565,C10034,2025-11-17,447.59,Paid
T100566,C10034,2025-12-17,473.08,Paid
T100567,C10034,2026-01-16,467.23,Paid
T100568,C10034,2026-02-15,454.95,Refunded
T100569,C10034,2026-03-17,467.64,Paid
T100570,C10034,2026-04-16,455.42,Paid
T100571,C10034,2026-05-16,475.55,Paid
T100572,C10034,2026-06-15,451.37,Paid
T100573,C10034,2026-07-15,447.7,Refunded
T100574,C10034,2026-08-14,481.32,Paid
T100575,C10035,2024-06-04,391.8,Paid
T100576,C10035,2024-07-04,403.41,Paid
T100577,C10035,2024-08-03,396.76,Paid
T100578,C10035,2024-09-02,391.02,Paid
T100579,C10035,2024-10-02,412.25,Paid
T100580,C10035,2024-11-01,394.26,Paid
T100581,C10035,2024-12-01,408.24,Paid
T100582,C10035,2024-12-31,402.49,Paid
T100583,C10035,2025-01-30,411.21,Paid
T100584,C10035,2025-03-01,411.94,Paid
T100585,C10035,2025-03-31,408.18,Paid
T100586,C10036,2024-07-06,304.72,Paid
T100587,C10036,2024-08-05,291.96,Paid
T100588,C10036,2024-09-04,319.99,Paid
T100589,C10036,2024-10-04,308.35,Paid
T100590,C10036,2024-11-03,300.78,Paid
T100591,C10036,2024-12-03,320.0,Paid
T100592,C10036,2025-01-02,318.56,Paid
T100593,C10036,2025-02-01,308.22,Paid
T100594,C10036,2025-03-03,301.5,Failed
T100595,C10036,2025-04-02,316.97,Paid
T100596,C10036,2025-05-02,295.63,Paid
T100597,C10036,2025-06-01,305.33,Paid
