customer_id,monthly_usage_hours,login_frequency,support_tickets,complaints
C10401,51.6,21,1,0
C10402,11.8,9,4,2
C10403,44.3,16,3,3
C10404,3.4,0,5,5
C10405,27.3,12,4,2
C10406,39.0,11,4,3
C10407,13.8,6,4,4
C10408,24.0,8,5,3
C10409,13.4,1,6,4
C10410,59.1,17,2,2
C10411,3.1,0,5,4
C10412,0.0,3,5,5
C10413,51.1,20,2,1
C10414,42.7,10,3,2
C10415,63.6,22,2,0
C10416,74.7,27,2,0
C10417,55.7,19,2,2
C10418,29.4,13,3,3
C10419,58.3,22,2,0
C10420,64.6,21,2,1
C10421,14.7,0,4,3
C10422,63.5,20,1,0
C10423,49.9,14,2,0
C10424,19.4,17,3,2
C10425,48.6,20,2,0
C10426,63.1,27,2,1
C10427,46.1,12,3,2
C10428,43.1,15,4,2
C10429,21.0,11,5,4
C10430,69.7,30,3,1
C10431,17.8,5,4,3
C10432,80.8,28,0,0
C10433,40.3,12,3,2
C10434,31.4,15,4,4
C10435,58.1,20,4,2
C10436,15.0,6,5,5
C10437,26.9,14,3,1
C10438,59.2,22,2,1
C10439,19.8,4,4,3
C10440,56.7,20,4,3
C10441,18.5,11,4,2
C10442,35.7,15,2,1
C10443,32.4,9,3,3
C10444,5.1,4,5,3
C10445,64.6,31,1,1
C10446,67.0,23,1,1
C10447,40.8,22,2,1
C10448,52.6,14,4,3
C10449,45.4,17,4,4
C10450,64.4,28,1,0
C10451,34.2,11,3,2
C10452,43.3,21,3,3
C10453,70.9,24,2,0
C10454,64.5,20,1,0
C10455,55.2,18,2,2
C10456,59.4,23,1,1
C10457,41.9,12,2,2
C10458,35.3,14,3,2
C10459,42.0,9,3,1
C10460,25.5,11,5,3
C10461,53.0,13,2,2
C10462,13.4,0,4,4
C10463,43.0,19,2,2
C10464,31.2,11,3,3
C10465,58.1,24,1,1
C10466,25.2,16,3,3
C10467,29.7,6,4,2
C10468,21.0,8,4,4
C10469,51.8,18,2,2
C10470,9.8,8,4,4
C10471,41.3,11,3,1
C10472,33.5,14,3,1
C10473,47.8,16,2,0
C10474,58.4,20,2,1
C10475,62.0,21,3,2
C10476,24.1,11,4,2
C10477,63.1,27,1,1
C10478,24.4,12,3,3
C10479,79.9,29,0,0
C10480,70.4,24,1,1
C10481,35.7,8,3,1
C10482,32.0,13,5,4
C10483,2.7,2,6,5
C10484,21.3,5,5,4
C10485,60.9,16,1,1
C10486,61.5,24,3,3
C10487,47.9,18,2,2
C10488,24.3,15,3,2
C10489,46.1,15,2,1
C10490,43.2,16,2,2
C10491,67.0,26,2,2
C10492,28.8,17,3,2
C10493,49.8,13,3,2
C10494,62.0,18,1,0
C10495,44.2,14,3,1
C10496,12.4,4,4,3
C10497,48.9,23,2,1
C10498,21.1,9,4,4
C10499,58.7,16,2,2
C10500,24.6,8,3,3
C10501,33.1,11,3,1
C10502,66.7,26,2,1
C10503,34.5,3,3,3
C10504,29.4,14,3,2
C10505,56.4,17,2,1
C10506,67.3,25,1,1
C10507,16.8,0,4,2
C10508,18.2,6,5,3
C10509,59.1,13,3,3
C10510,29.8,12,3,1
C10511,47.7,22,3,3
C10512,77.0,28,0,0
C10513,42.1,12,4,4
C10514,36.6,15,3,1
C10515,9.7,4,6,4
C10516,47.3,15,3,3
C10517,19.6,16,3,3
C10518,44.7,14,3,3
C10519,11.8,3,7,5
C10520,54.2,19,2,2
C10521,37.7,16,2,0
C10522,46.2,19,2,1
C10523,24.7,8,6,4
C10524,49.5,18,3,2
C10525,21.3,13,4,2
C10526,36.7,9,4,2
C10527,14.7,4,6,4
C10528,18.5,8,6,6
C10529,21.9,15,4,4
C10530,51.2,16,2,2
C10531,45.9,14,2,0
C10532,14.7,0,6,6
C10533,40.3,14,2,0
C10534,2.1,8,5,5
C10535,58.7,15,2,2
C10536,40.7,18,2,1
C10537,45.3,18,2,2
C10538,69.7,23,3,3
C10539,52.3,20,2,2
C10540,38.8,10,3,2
C10541,68.1,30,1,1
C10542,17.3,10,4,2
C10543,44.8,17,2,1
C10544,73.3,34,1,1
C10545,56.8,21,1,0
C10546,43.3,14,2,1
C10547,20.5,10,4,3
C10548,10.5,11,5,4
C10549,36.0,11,3,1
C10550,45.7,22,2,0
C10551,34.0,17,3,3
C10552,79.5,30,0,0
C10553,34.1,14,4,2
C10554,28.5,10,4,3
C10555,27.0,7,3,3
C10556,29.9,12,4,2
C10557,30.6,13,3,3
C10558,14.7,10,5,5
C10559,68.7,28,1,1
C10560,33.9,17,4,4
C10561,64.2,23,1,0
C10562,68.1,21,1,0
C10563,39.2,13,4,3
C10564,41.7,17,3,3
C10565,34.3,11,3,2
C10566,51.6,24,2,0
C10567,30.3,17,4,4
C10568,51.1,18,2,2
C10569,18.3,7,5,3
C10570,61.6,20,1,0
C10571,14.6,3,5,5
C10572,23.7,8,4,4
C10573,21.2,7,4,3
C10574,23.8,9,5,5
C10575,39.5,15,3,2
C10576,32.2,12,3,3
C10577,58.6,24,3,1
C10578,35.2,19,4,4
C10579,43.3,12,3,2
C10580,26.0,5,5,4
C10581,30.8,17,3,3
C10582,21.8,12,3,3
C10583,29.6,10,3,1
C10584,47.5,17,3,3
C10585,56.9,17,2,1
C10586,6.5,0,4,2
C10587,57.7,20,1,0
C10588,73.6,27,0,0
C10589,68.5,30,2,0
C10590,24.6,10,3,3
C10591,22.4,12,5,4
C10592,76.3,29,2,2
C10593,41.4,13,2,2
C10594,22.5,3,4,2
C10595,56.8,22,3,1
C10596,68.9,21,1,1
C10597,55.5,22,1,0
C10598,25.8,13,3,2
C10599,26.4,13,3,3
C10600,34.7,12,3,3
C10601,62.5,21,2,1
C10602,52.8,18,2,2
C10603,63.1,23,2,0
C10604,63.7,25,1,0
C10605,5.2,5,5,3
C10606,47.0,16,2,1
C10607,20.4,6,5,4
C10608,49.8,18,2,2
C10609,34.2,14,3,2
C10610,49.9,18,2,2
C10611,40.7,10,3,3
C10612,6.6,0,6,4
C10613,37.2,17,3,3
C10614,22.8,8,5,5
C10615,6.9,10,5,5
C10616,46.4,21,3,1
C10617,5.5,5,5,5
C10618,49.2,21,2,2
C10619,11.5,1,4,2
C10620,33.7,9,4,4
C10621,20.0,5,4,4
C10622,22.8,9,4,4
C10623,50.2,13,3,3
C10624,63.1,25,3,1
C10625,14.8,10,4,4
C10626,27.7,13,3,2
C10627,24.2,11,4,2
C10628,31.8,15,3,2
C10629,34.5,11,3,2
C10630,59.7,29,1,0
C10631,19.4,10,5,5
C10632,16.6,1,4,3
C10633,37.7,17,4,4
C10634,19.9,10,3,2
C10635,14.8,0,6,4
C10636,29.8,9,3,3
C10637,57.7,25,2,2
C10638,30.1,12,4,4
C10639,49.8,20,3,2
C10640,4.2,0,4,4
C10641,64.3,31,1,0
C10642,66.0,19,2,0
C10643,25.3,5,5,3
C10644,16.4,1,5,3
C10645,67.2,22,3,1
C10646,33.7,12,3,1
C10647,67.8,22,1,0
C10648,38.7,16,3,1
C10649,38.3,13,3,2
C10650,60.6,18,4,4
C10651,45.1,17,2,0
C10652,35.0,8,4,4
C10653,37.6,17,4,3
C10654,36.1,11,4,2
C10655,48.7,16,2,0
C10656,22.9,8,4,3
C10657,37.7,13,7,5
C10658,53.0,18,2,0
C10659,70.9,26,1,0
C10660,63.0,22,1,1
C10661,42.9,19,2,1
C10662,17.8,0,4,2
C10663,76.7,22,1,0
C10664,34.5,10,3,1
C10665,55.9,15,2,0
C10666,29.8,8,3,2
C10667,38.6,13,3,2
C10668,0.0,5,4,2
C10669,51.4,16,2,2
C10670,46.9,17,2,2
C10671,32.1,9,5,5
C10672,40.6,17,4,4
C10673,35.3,15,5,3
C10674,79.2,29,0,0
C10675,79.9,30,1,0
C10676,35.3,12,3,3
C10677,27.0,13,5,3
C10678,39.5,14,4,2
C10679,58.1,27,1,0
C10680,10.5,10,6,6
C10681,62.2,21,2,1
C10682,61.5,19,1,0
C10683,50.0,18,2,1
C10684,40.8,11,3,1
C10685,37.2,11,3,3
C10686,42.5,16,3,1
C10687,33.3,13,3,1
C10688,15.2,8,4,4
C10689,20.4,11,4,2
C10690,50.6,19,1,0
C10691,22.8,13,4,3
C10692,52.3,22,1,0
C10693,38.4,18,2,1
C10694,62.3,23,1,0
C10695,57.1,17,2,1
C10696,24.0,16,4,2
C10697,23.5,13,4,4
C10698,68.6,19,2,1
C10699,32.0,8,3,1
C10700,19.3,5,4,2
C10701,16.8,11,6,4
C10702,34.6,15,2,0
C10703,59.3,18,3,1
C10704,68.0,27,2,2
C10705,76.2,28,0,0
C10706,38.9,17,2,1
C10707,60.7,29,1,1
C10708,36.0,18,3,2
C10709,14.6,7,5,3
C10710,64.0,23,2,0
C10711,56.9,27,3,1
C10712,45.7,23,2,1
C10713,52.7,19,2,1
C10714,52.2,17,3,3
C10715,9.5,7,4,4
C10716,59.4,17,2,1
C10717,15.9,4,4,2
C10718,56.4,16,3,3
C10719,66.2,28,1,0
C10720,17.9,9,3,1
C10721,28.6,10,3,3
C10722,53.4,22,2,1
C10723,49.7,21,3,1
C10724,59.3,21,2,2
C10725,39.3,20,2,0
C10726,13.6,7,5,3
C10727,75.1,20,0,0
C10728,27.6,10,3,1
C10729,41.1,18,3,3
C10730,66.2,27,3,1
C10731,28.4,10,4,4
C10732,42.8,22,4,3
C10733,27.2,11,3,2
C10734,18.6,8,5,5
C10735,68.8,26,3,1
C10736,45.7,13,2,0
C10737,55.2,22,1,1
C10738,74.1,28,0,0
C10739,25.7,9,4,2
C10740,37.0,13,3,3
C10741,25.4,10,3,3
C10742,21.5,6,4,3
C10743,57.5,18,2,0
C10744,30.2,16,3,1
C10745,64.6,21,1,0
C10746,22.5,11,3,2
C10747,37.0,11,4,3
C10748,66.0,27,1,0
C10749,38.1,15,2,2
C10750,55.0,19,3,2
C10751,26.0,17,4,4
C10752,26.4,9,5,5
C10753,31.4,12,2,0
C10754,18.4,6,5,5
C10755,12.8,7,4,2
C10756,47.0,11,3,2
C10757,25.7,7,5,4
C10758,39.4,12,4,3
C10759,25.5,12,4,3
C10760,22.1,4,5,5
C10761,69.6,24,1,0
C10762,32.3,14,3,3
C10763,52.4,26,2,1
C10764,30.4,14,3,1
C10765,25.2,11,4,3
C10766,30.6,10,3,3
C10767,36.5,14,2,2
C10768,34.7,3,4,3
C10769,31.6,14,3,3
C10770,6.8,7,6,5
C10771,45.3,14,2,0
C10772,37.7,13,3,2
C10773,40.0,16,3,1
C10774,28.9,15,3,3
C10775,38.9,16,3,3
C10776,23.3,11,4,3
C10777,60.2,30,3,2
C10778,42.4,15,3,3
C10779,43.2,18,5,3
C10780,35.3,14,4,3
C10781,52.8,17,4,2
C10782,53.0,18,2,0
C10783,50.8,13,3,1
C10784,78.6,27,0,0
C10785,31.4,13,5,5
C10786,25.3,10,4,4
C10787,14.6,6,4,4
C10788,58.1,25,1,1
C10789,23.7,12,3,1
C10790,52.5,21,3,2
C10791,13.2,2,6,4
C10792,16.0,5,5,3
C10793,32.1,13,3,3
C10794,31.3,11,4,2
C10795,29.1,7,3,3
C10796,58.4,23,1,0
C10797,60.1,16,2,2
C10798,62.7,24,2,2
C10799,17.3,11,4,2
C10800,19.5,7,4,4
C10801,40.8,19,3,1
C10802,67.5,20,3,1
C10803,47.9,12,3,3
C10804,28.6,9,4,4
C10805,16.6,5,4,3
C10806,32.5,10,3,2
C10807,33.9,14,3,2
C10808,40.2,9,3,2
C10809,27.2,14,4,2
C10810,76.4,26,0,0
C10811,40.6,24,2,0
C10812,64.1,19,1,0
C10813,35.2,15,4,2
C10814,64.8,25,2,0
C10815,51.4,18,3,1
C10816,17.1,10,4,3
C10817,25.1,8,3,1
C10818,14.2,7,5,4
C10819,18.9,3,4,2
C10820,54.0,26,1,0
C10821,37.9,15,4,2
C10822,20.7,8,5,5
C10823,72.8,32,1,0
C10824,52.7,26,2,1
C10825,57.8,22,1,0
C10826,46.6,20,2,2
C10827,34.1,14,3,3
C10828,61.5,23,3,3
C10829,39.3,16,3,3
C10830,0.0,7,5,3
C10831,34.6,16,2,1
C10832,26.3,8,3,1
C10833,17.1,10,5,4
C10834,62.8,23,2,1
C10835,51.1,18,2,0
C10836,17.4,8,5,4
C10837,55.6,8,2,0
C10838,38.7,13,3,1
C10839,67.2,26,1,0
C10840,42.8,18,3,2
C10841,55.2,20,2,1
C10842,28.3,19,3,2
C10843,69.5,28,1,1
C10844,36.9,21,3,1
C10845,48.6,23,2,2
C10846,40.0,15,4,2
C10847,70.1,26,1,0
C10848,37.5,9,3,2
C10849,36.4,16,2,1
C10850,48.5,17,2,0
C10851,21.9,12,6,6
C10852,39.3,13,3,3
C10853,19.8,5,4,2
C10854,33.0,12,4,2
C10855,78.0,24,0,0
C10856,35.4,9,4,4
C10857,65.2,23,2,0
C10858,61.9,22,2,1
C10859,66.9,22,2,0
C10860,52.8,26,1,0
C10861,43.9,15,2,0
C10862,36.4,25,2,1
C10863,13.8,8,4,3
C10864,35.3,20,3,1
C10865,33.5,5,4,4
C10866,67.2,25,2,2
C10867,43.5,19,2,1
C10868,40.5,11,2,1
C10869,0.1,2,5,3
C10870,30.7,13,4,3
C10871,55.1,19,1,1
C10872,19.9,14,4,4
C10873,54.5,25,2,0
C10874,48.8,18,2,2
C10875,44.4,10,3,2
C10876,61.0,23,2,1
C10877,57.9,19,1,1
C10878,64.2,22,3,3
C10879,21.5,12,4,4
C10880,37.5,13,5,5
C10881,19.7,9,4,3
C10882,10.7,6,5,3
C10883,25.5,11,3,1
C10884,60.9,18,1,0
C10885,32.1,11,4,4
C10886,20.4,13,4,2
C10887,65.2,28,1,0
C10888,64.3,26,2,1
C10889,4.4,2,5,5
C10890,70.5,31,3,3
C10891,47.3,14,4,2
C10892,24.6,0,3,3
C10893,2.5,4,5,4
C10894,47.2,18,2,2
C10895,48.0,20,2,0
C10896,67.4,29,1,0
C10897,19.1,4,5,3
C10898,38.1,12,3,3
C10899,12.7,5,5,4
C10900,33.9,18,3,3
C10901,85.4,27,0,0
C10902,50.3,24,3,3
C10903,2.8,1,5,4
C10904,17.2,12,5,3
C10905,55.0,23,3,2
C10906,66.8,26,1,0
C10907,67.9,23,2,0
C10908,53.0,16,2,1
C10909,25.0,10,3,2
C10910,18.0,5,4,3
C10911,43.7,20,2,1
C10912,39.3,14,4,3
C10913,58.1,24,3,3
C10914,49.1,22,3,3
C10915,42.1,15,4,4
C10916,30.5,15,3,1
C10917,21.1,9,4,2
C10918,8.2,9,4,2
C10919,73.8,29,2,2
C10920,47.7,23,2,2
C10921,44.9,15,2,0
C10922,52.5,18,3,2
C10923,53.7,21,3,3
C10924,19.0,5,4,2
C10925,18.8,12,3,2
C10926,14.1,2,5,3
C10927,27.8,16,3,3
C10928,25.1,9,5,3
C10929,15.6,10,4,2
C10930,39.5,14,3,1
C10931,13.8,7,4,2
C10932,41.0,10,3,2
C10933,12.4,0,4,4
C10934,20.4,5,4,2
C10935,48.5,21,2,1
C10936,42.1,14,3,3
C10937,36.6,16,4,4
C10938,60.5,25,3,3
C10939,31.3,13,3,2
C10940,44.7,10,4,3
C10941,13.1,7,5,4
C10942,73.9,26,1,0
C10943,9.8,6,5,4
C10944,33.1,8,4,4
C10945,64.1,22,2,1
C10946,27.8,14,3,3
C10947,23.8,10,5,4
C10948,46.6,18,2,0
C10949,65.4,24,1,0
C10950,25.7,19,3,3
C10951,51.0,18,2,1
C10952,32.1,9,3,1
C10953,35.0,8,3,1
C10954,45.1,18,2,0
C10955,12.3,7,4,3
C10956,24.9,12,3,3
C10957,25.7,12,4,3
C10958,0.3,5,4,2
C10959,69.6,26,2,1
C10960,55.6,14,2,2
C10961,48.3,11,3,2
C10962,50.2,12,3,2
C10963,1.5,0,5,5
C10964,52.2,23,3,1
C10965,11.2,8,4,4
C10966,58.9,23,1,0
C10967,28.1,6,3,2
C10968,17.9,8,4,2
C10969,31.5,15,2,2
C10970,29.7,13,3,3
C10971,57.7,18,2,2
C10972,31.2,20,3,2
C10973,20.1,6,4,3
C10974,6.2,2,6,6
C10975,42.2,7,5,4
C10976,37.0,15,5,5
C10977,45.3,14,4,2
C10978,29.3,11,3,2
C10979,20.1,11,4,2
C10980,50.1,15,2,1
C10981,51.6,18,2,1
C10982,59.4,23,1,0
C10983,46.6,15,3,1
C10984,58.0,20,1,0
C10985,43.1,21,3,2
C10986,15.2,11,4,3
C10987,66.5,26,1,0
C10988,68.3,26,2,0
C10989,13.9,0,5,4
C10990,41.4,16,3,3
C10991,61.5,25,2,2
C10992,60.3,27,1,1
C10993,51.0,19,3,1
C10994,19.0,3,5,4
C10995,18.9,12,5,5
