customer_id,plan,contract_type,monthly_charges,payment_method,auto_renewal
C10068,Premium,Monthly,1136.55,Debit Card,True
C10069,Basic,Monthly,425.67,Credit Card,True
C10070,Premium,Annual,1487.18,Credit Card,True
C10071,Standard,Annual,634.35,UPI,True
C10072,Basic,Monthly,327.54,Net Banking,True
C10073,Basic,Monthly,372.77,Wallet,True
C10074,Premium,Monthly,1417.11,Credit Card,True
C10075,Standard,Annual,739.17,Debit Card,True
C10076,Standard,Monthly,695.48,Credit Card,False
C10077,Standard,Monthly,767.36,UPI,True
C10078,Basic,Monthly,351.1,Credit Card,True
C10079,Basic,Monthly,379.23,Debit Card,True
C10080,Basic,Monthly,365.52,Wallet,False
C10081,Premium,Annual,1401.07,UPI,True
C10082,Standard,Monthly,876.28,Credit Card,True
C10083,Basic,Monthly,450.91,Credit Card,False
C10084,Basic,Monthly,386.82,UPI,True
C10085,Basic,Monthly,399.87,UPI,True
C10086,Basic,Monthly,324.01,UPI,True
C10087,Standard,Annual,823.06,Credit Card,True
C10088,Standard,Monthly,777.94,Net Banking,False
C10089,Premium,Annual,1450.22,UPI,True
C10090,Standard,Monthly,659.18,Net Banking,False
C10091,Basic,Monthly,450.95,Debit Card,False
C10092,Standard,Monthly,804.4,Credit Card,False
C10093,Standard,Monthly,678.75,Credit Card,False
C10094,Standard,Monthly,799.21,Wallet,False
C10095,Standard,Annual,876.31,Credit Card,True
C10096,Standard,Monthly,874.53,Credit Card,False
C10097,Standard,Monthly,814.89,Credit Card,False
C10098,Basic,Monthly,308.61,UPI,False
C10099,Basic,Monthly,473.45,Net Banking,False
C10100,Basic,Monthly,430.56,Net Banking,True
C10101,Basic,Monthly,361.09,UPI,False
C10102,Standard,Monthly,655.18,Wallet,False
C10103,Basic,Monthly,322.24,Credit Card,False
C10104,Standard,Monthly,614.07,Net Banking,True
C10105,Premium,Annual,1376.05,Debit Card,False
C10106,Basic,Annual,346.17,Debit Card,True
C10107,Basic,Monthly,303.85,Credit Card,False
C10108,Standard,Monthly,718.18,Credit Card,False
C10109,Basic,Monthly,395.52,Debit Card,False
C10110,Basic,Monthly,332.85,Credit Card,False
C10111,Basic,Annual,307.81,Debit Card,False
C10112,Basic,Monthly,336.83,Credit Card,False
C10113,Premium,Annual,1338.55,Credit Card,True
C10114,Premium,Monthly,1040.12,Net Banking,False
C10115,Standard,Monthly,765.51,Wallet,True
C10116,Premium,Annual,1072.21,Wallet,True
C10117,Premium,Monthly,1096.84,UPI,True
C10118,Basic,Annual,377.62,UPI,False
C10119,Premium,Monthly,1049.41,Net Banking,False
C10120,Standard,Monthly,650.96,UPI,True
C10121,Premium,Annual,1173.48,Debit Card,True
C10122,Premium,Monthly,1163.83,Credit Card,True
C10123,Basic,Monthly,448.85,Credit Card,True
C10124,Basic,Annual,313.96,Net Banking,True
C10125,Basic,Monthly,471.09,UPI,True
C10126,Basic,Monthly,462.25,Debit Card,True
C10127,Premium,Annual,1382.0,Credit Card,True
C10128,Premium,Monthly,1153.69,Credit Card,True
C10129,Basic,Annual,463.58,UPI,True
C10130,Standard,Monthly,653.84,UPI,True
C10131,Basic,Monthly,323.88,Debit Card,False
C10132,Basic,Annual,307.99,Debit Card,True
C10133,Basic,Annual,486.86,UPI,True
C10134,Basic,Monthly,360.6,Wallet,True
C10135,Premium,Annual,1457.81,Wallet,True
C10136,Basic,Monthly,353.52,Credit Card,False
C10137,Standard,Monthly,871.27,Debit Card,False
C10138,Standard,Monthly,870.18,Debit Card,True
C10139,Basic,Monthly,483.74,UPI,False
C10140,Premium,Monthly,1247.08,UPI,True
C10141,Premium,Monthly,1431.97,Credit Card,False
C10142,Basic,Annual,489.15,UPI,True
C10143,Standard,Monthly,696.39,Debit Card,True
C10144,Basic,Annual,382.77,Wallet,True
C10145,Basic,Monthly,442.85,Credit Card,True
C10146,Basic,Annual,359.07,Credit Card,True
C10147,Standard,Annual,825.14,UPI,False
C10148,Standard,Monthly,621.17,UPI,False
C10149,Basic,Annual,403.7,UPI,True
C10150,Basic,Monthly,323.46,Wallet,True
C10151,Premium,Annual,1145.66,Debit Card,False
C10152,Basic,Annual,350.73,Debit Card,True
C10153,Basic,Annual,466.79,Wallet,True
C10154,Standard,Monthly,657.06,UPI,True
C10155,Premium,Monthly,1403.22,Debit Card,False
C10156,Basic,Annual,457.79,UPI,True
C10157,Standard,Monthly,748.66,UPI,False
C10158,Standard,Annual,669.15,Debit Card,False
C10159,Basic,Monthly,344.38,Credit Card,False
C10160,Standard,Monthly,738.48,Debit Card,False
C10161,Basic,Monthly,300.76,Credit Card,False
C10162,Standard,Monthly,758.41,Wallet,True
C10163,Standard,Monthly,884.83,Credit Card,False
C10164,Standard,Monthly,645.41,Credit Card,False
C10165,Basic,Monthly,413.67,UPI,False
C10166,Premium,Monthly,1479.89,UPI,False
C10167,Basic,Monthly,471.1,UPI,True
C10168,Basic,Monthly,469.08,Debit Card,True
C10169,Basic,Monthly,463.37,Net Banking,True
C10170,Standard,Monthly,691.71,UPI,False
C10171,Standard,Monthly,866.19,Debit Card,False
C10172,Basic,Monthly,487.27,Net Banking,False
C10173,Standard,Monthly,747.74,Credit Card,False
C10174,Basic,Monthly,369.91,Net Banking,False
C10175,Standard,Annual,723.27,UPI,True
C10176,Basic,Annual,365.84,Wallet,True
C10177,Standard,Monthly,662.73,Credit Card,False
C10178,Basic,Monthly,422.69,Wallet,False
C10179,Premium,Annual,1280.3,UPI,True
C10180,Basic,Monthly,391.52,UPI,False
C10181,Basic,Monthly,318.17,Debit Card,False
C10182,Basic,Monthly,458.38,Wallet,False
C10183,Premium,Annual,1086.47,Debit Card,True
C10184,Premium,Annual,1056.28,Debit Card,True
C10185,Basic,Monthly,423.61,UPI,True
C10186,Standard,Monthly,718.59,Credit Card,False
C10187,Premium,Monthly,1028.9,Credit Card,False
C10188,Standard,Monthly,705.67,UPI,True
C10189,Standard,Monthly,830.53,Credit Card,True
C10190,Basic,Monthly,422.05,Net Banking,False
C10191,Basic,Annual,371.56,UPI,True
C10192,Premium,Monthly,1094.9,UPI,False
C10193,Premium,Monthly,1314.9,Credit Card,False
C10194,Standard,Monthly,865.27,UPI,False
C10195,Basic,Monthly,428.25,Net Banking,False
C10196,Basic,Monthly,461.58,Debit Card,True
C10197,Standard,Annual,755.46,Debit Card,True
C10198,Premium,Annual,1357.99,Credit Card,False
C10199,Premium,Monthly,1447.11,UPI,True
C10200,Standard,Monthly,830.95,UPI,False
C10201,Standard,Monthly,871.96,Credit Card,False
C10202,Basic,Monthly,385.23,UPI,False
C10203,Basic,Monthly,479.84,Net Banking,True
C10204,Premium,Monthly,1309.78,Credit Card,False
C10205,Standard,Monthly,860.01,UPI,True
C10206,Basic,Monthly,306.88,Net Banking,False
C10207,Basic,Annual,430.57,Wallet,True
C10208,Standard,Annual,853.39,Credit Card,True
C10209,Basic,Monthly,333.84,Debit Card,False
C10210,Basic,Monthly,431.36,Wallet,True
C10211,Standard,Annual,846.49,Credit Card,True
C10212,Standard,Monthly,685.38,UPI,False
C10213,Standard,Monthly,720.57,UPI,False
C10214,Basic,Monthly,412.9,UPI,True
C10215,Standard,Monthly,754.75,Debit Card,False
C10216,Basic,Monthly,306.84,Wallet,True
C10217,Basic,Annual,318.73,Credit Card,True
C10218,Standard,Monthly,629.14,UPI,True
C10219,Standard,Monthly,677.68,Debit Card,False
C10220,Premium,Monthly,1121.93,Credit Card,False
C10221,Standard,Annual,821.67,Credit Card,True
C10222,Standard,Annual,770.82,Wallet,True
C10223,Basic,Annual,451.8,UPI,True
C10224,Basic,Annual,312.98,UPI,False
C10225,Basic,Monthly,396.04,UPI,True
C10226,Basic,Monthly,363.76,Credit Card,False
C10227,Premium,Monthly,1423.97,UPI,True
C10228,Basic,Monthly,440.56,Credit Card,False
C10229,Premium,Annual,1433.63,UPI,True
C10230,Standard,Annual,612.93,Credit Card,True
C10231,Standard,Monthly,815.25,Net Banking,False
C10232,Standard,Annual,761.0,UPI,True
C10233,Standard,Annual,846.5,Debit Card,True
C10234,Standard,Monthly,751.15,Debit Card,False
C10235,Basic,Monthly,407.04,Credit Card,False
C10236,Standard,Monthly,614.53,Wallet,False
C10237,Basic,Monthly,432.7,Credit Card,True
C10238,Basic,Monthly,353.63,Debit Card,False
C10239,Standard,Monthly,604.91,Credit Card,True
C10240,Basic,Monthly,312.29,Wallet,True
C10241,Premium,Annual,1477.64,UPI,True
C10242,Premium,Annual,1172.04,Credit Card,True
C10243,Premium,Annual,1433.04,UPI,True
C10244,Basic,Annual,490.94,Wallet,True
C10245,Basic,Monthly,487.65,UPI,True
C10246,Premium,Monthly,1439.86,Debit Card,False
C10247,Basic,Annual,477.97,Credit Card,True
C10248,Premium,Monthly,1143.5,Credit Card,True
C10249,Premium,Monthly,1074.73,Credit Card,False
C10250,Premium,Monthly,1318.63,UPI,True
C10251,Basic,Monthly,396.62,UPI,False
C10252,Basic,Monthly,318.75,Net Banking,False
C10253,Premium,Monthly,1337.77,UPI,False
C10254,Basic,Monthly,411.57,Credit Card,True
C10255,Basic,Monthly,471.61,UPI,True
C10256,Standard,Annual,781.76,UPI,True
C10257,Premium,Monthly,1285.97,Debit Card,False
C10258,Standard,Monthly,731.23,UPI,True
C10259,Standard,Annual,737.84,Credit Card,True
C10260,Basic,Monthly,489.88,Credit Card,False
C10261,Standard,Monthly,640.53,UPI,True
C10262,Premium,Annual,1222.11,Credit Card,True
C10263,Basic,Monthly,430.17,UPI,False
C10264,Standard,Monthly,728.9,Debit Card,True
C10265,Premium,Monthly,1140.61,Wallet,False
C10266,Standard,Monthly,685.21,Wallet,True
C10267,Standard,Monthly,669.1,Wallet,False
C10268,Standard,Monthly,702.17,Net Banking,True
C10269,Basic,Monthly,473.33,Wallet,True
C10270,Basic,Monthly,400.04,UPI,False
C10271,Premium,Monthly,1119.12,Wallet,True
C10272,Premium,Monthly,1191.26,UPI,False
C10273,Premium,Monthly,1051.92,Net Banking,True
C10274,Premium,Monthly,1451.02,Credit Card,True
C10275,Standard,Monthly,721.46,UPI,True
C10276,Standard,Monthly,893.12,Wallet,True
C10277,Standard,Monthly,703.26,UPI,True
C10278,Standard,Monthly,849.91,Credit Card,False
C10279,Standard,Monthly,675.92,UPI,False
C10280,Standard,Annual,621.85,UPI,True
C10281,Premium,Annual,1014.87,UPI,True
C10282,Basic,Annual,420.23,UPI,False
C10283,Basic,Annual,361.31,Credit Card,True
C10284,Basic,Monthly,387.7,Wallet,True
C10285,Standard,Monthly,844.59,UPI,False
C10286,Basic,Annual,348.62,Credit Card,True
C10287,Standard,Annual,691.6,Net Banking,True
C10288,Standard,Annual,852.6,Debit Card,True
C10289,Basic,Monthly,397.55,Debit Card,False
C10290,Standard,Annual,847.3,Net Banking,True
C10291,Basic,Monthly,373.9,Net Banking,False
C10292,Basic,Monthly,378.67,Debit Card,False
C10293,Premium,Monthly,1082.57,Credit Card,True
C10294,Basic,Monthly,482.27,Credit Card,True
C10295,Basic,Monthly,478.36,Wallet,True
C10296,Standard,Monthly,894.27,Net Banking,False
C10297,Standard,Annual,719.73,Debit Card,True
C10298,Basic,Monthly,462.72,Debit Card,False
C10299,Standard,Monthly,723.49,Debit Card,False
C10300,Basic,Monthly,389.86,Net Banking,False
C10301,Basic,Annual,465.0,Debit Card,True
C10302,Standard,Monthly,652.21,UPI,False
C10303,Standard,Monthly,665.09,UPI,True
C10304,Standard,Monthly,693.42,Credit Card,False
C10305,Standard,Monthly,835.45,Credit Card,False
C10306,Premium,Monthly,1185.33,Debit Card,True
C10307,Standard,Monthly,706.45,UPI,True
C10308,Basic,Annual,498.76,Net Banking,False
C10309,Standard,Annual,714.14,UPI,True
C10310,Basic,Monthly,348.55,Credit Card,True
C10311,Basic,Annual,423.64,Debit Card,True
C10312,Basic,Annual,459.38,Credit Card,False
C10313,Basic,Monthly,312.92,Credit Card,False
C10314,Premium,Monthly,1308.45,UPI,False
C10315,Premium,Monthly,1016.87,Wallet,False
C10316,Standard,Annual,756.9,Net Banking,False
C10317,Basic,Monthly,350.4,UPI,False
C10318,Basic,Monthly,360.33,UPI,False
C10319,Basic,Monthly,392.42,Net Banking,True
C10320,Basic,Monthly,484.42,UPI,True
C10321,Standard,Monthly,812.2,UPI,False
C10322,Standard,Monthly,880.05,Debit Card,True
C10323,Standard,Monthly,796.99,Credit Card,False
C10324,Basic,Annual,300.42,Debit Card,True
C10325,Premium,Monthly,1131.79,Wallet,True
C10326,Standard,Monthly,870.73,UPI,False
C10327,Standard,Monthly,792.03,Credit Card,False
C10328,Standard,Monthly,893.49,UPI,False
C10329,Basic,Annual,330.19,Debit Card,True
C10330,Basic,Monthly,358.35,Wallet,False
C10331,Basic,Monthly,371.47,Credit Card,True
C10332,Standard,Annual,696.97,UPI,True
C10333,Basic,Monthly,349.4,UPI,False
C10334,Basic,Monthly,387.69,Wallet,True
C10335,Basic,Monthly,427.46,UPI,True
C10336,Basic,Annual,361.25,Net Banking,True
C10337,Premium,Monthly,1038.85,Credit Card,True
C10338,Standard,Monthly,811.56,Credit Card,False
C10339,Standard,Monthly,736.7,Debit Card,False
C10340,Basic,Monthly,410.3,UPI,True
C10341,Standard,Annual,735.62,Debit Card,True
C10342,Standard,Monthly,866.11,Credit Card,False
C10343,Basic,Monthly,410.75,UPI,False
C10344,Basic,Monthly,483.66,UPI,True
C10345,Basic,Annual,401.12,UPI,True
C10346,Standard,Annual,686.78,Credit Card,True
C10347,Standard,Monthly,705.63,Wallet,False
C10348,Basic,Monthly,403.43,UPI,True
C10349,Basic,Monthly,405.0,Credit Card,False
C10350,Standard,Annual,805.2,UPI,False
C10351,Standard,Monthly,666.35,Debit Card,False
C10352,Premium,Annual,1328.42,UPI,True
C10353,Standard,Monthly,832.58,Debit Card,True
C10354,Basic,Annual,434.32,Net Banking,False
C10355,Basic,Monthly,395.37,Wallet,True
C10356,Standard,Annual,896.5,Credit Card,False
C10357,Basic,Monthly,379.96,Credit Card,True
C10358,Standard,Annual,630.98,Credit Card,False
C10359,Premium,Monthly,1409.75,UPI,False
C10360,Standard,Monthly,662.66,Credit Card,True
C10361,Basic,Annual,441.66,Net Banking,True
C10362,Standard,Monthly,652.69,Debit Card,False
C10363,Standard,Monthly,604.06,UPI,True
C10364,Standard,Monthly,646.94,Debit Card,True
C10365,Premium,Monthly,1187.49,Wallet,False
C10366,Basic,Monthly,320.32,Credit Card,False
C10367,Premium,Annual,1097.84,UPI,True
C10368,Premium,Annual,1381.31,UPI,True
C10369,Basic,Monthly,452.98,UPI,True
C10370,Basic,Monthly,462.5,Debit Card,True
C10371,Basic,Monthly,467.23,Credit Card,True
C10372,Basic,Monthly,383.09,UPI,False
C10373,Basic,Monthly,472.51,Net Banking,False
C10374,Standard,Monthly,756.78,Credit Card,False
C10375,Basic,Monthly,393.12,Debit Card,False
C10376,Basic,Monthly,442.71,Credit Card,True
C10377,Premium,Monthly,1105.91,UPI,False
C10378,Basic,Annual,456.9,UPI,True
C10379,Premium,Annual,1213.73,UPI,False
C10380,Basic,Monthly,324.46,Debit Card,False
C10381,Basic,Annual,322.86,Credit Card,True
C10382,Standard,Monthly,648.47,UPI,False
C10383,Standard,Monthly,866.17,Debit Card,True
C10384,Premium,Annual,1494.47,Credit Card,False
C10385,Standard,Annual,706.09,UPI,True
C10386,Premium,Monthly,1145.07,Credit Card,False
C10387,Basic,Monthly,342.75,Net Banking,False
C10388,Basic,Monthly,463.76,Credit Card,True
C10389,Standard,Monthly,661.76,Debit Card,False
C10390,Premium,Annual,1461.05,Credit Card,True
C10391,Premium,Monthly,1332.68,UPI,True
C10392,Basic,Annual,478.43,UPI,True
C10393,Basic,Monthly,409.8,UPI,False
C10394,Standard,Monthly,806.2,Debit Card,True
C10395,Basic,Annual,422.89,Credit Card,True
C10396,Premium,Monthly,1414.6,Credit Card,False
C10397,Premium,Monthly,1416.93,Wallet,True
C10398,Basic,Annual,416.96,Debit Card,True
C10399,Standard,Annual,788.75,UPI,True
C10400,Standard,Annual,875.56,Wallet,True
C10401,Basic,Annual,484.97,Credit Card,False
C10402,Premium,Monthly,1331.12,UPI,True
C10403,Standard,Annual,601.33,Credit Card,False
C10404,Premium,Monthly,1051.21,Credit Card,True
C10405,Basic,Annual,470.59,Credit Card,True
C10406,Premium,Monthly,1041.36,Net Banking,True
C10407,Basic,Annual,341.7,Debit Card,True
C10408,Basic,Monthly,345.11,Credit Card,False
C10409,Premium,Monthly,1299.12,Credit Card,True
C10410,Basic,Monthly,414.33,Credit Card,True
C10411,Basic,Annual,356.88,Net Banking,True
C10412,Premium,Monthly,1102.81,Debit Card,False
C10413,Premium,Annual,1381.27,Wallet,True
C10414,Standard,Monthly,879.64,Net Banking,False
C10415,Standard,Monthly,614.84,Net Banking,False
C10416,Basic,Annual,325.64,Credit Card,True
C10417,Basic,Monthly,427.43,Credit Card,False
C10418,Basic,Monthly,459.89,UPI,True
C10419,Standard,Monthly,836.36,Debit Card,False
C10420,Standard,Monthly,814.9,UPI,True
C10421,Standard,Monthly,865.23,Credit Card,True
C10422,Standard,Annual,664.2,Wallet,True
C10423,Basic,Monthly,320.46,Credit Card,False
C10424,Standard,Monthly,783.61,Credit Card,False
C10425,Basic,Annual,463.46,UPI,True
C10426,Standard,Monthly,773.61,Credit Card,True
C10427,Basic,Annual,491.6,Credit Card,True
C10428,Premium,Monthly,1396.78,Credit Card,False
C10429,Basic,Monthly,439.16,Credit Card,False
C10430,Basic,Monthly,311.05,Credit Card,True
C10431,Basic,Monthly,320.55,Credit Card,False
C10432,Standard,Annual,834.45,Debit Card,True
C10433,Standard,Monthly,658.47,Debit Card,True
C10434,Basic,Monthly,304.77,Debit Card,False
C10435,Basic,Monthly,481.15,UPI,False
C10436,Standard,Monthly,866.24,Credit Card,True
C10437,Basic,Annual,342.7,Credit Card,True
C10438,Premium,Monthly,1389.1,Net Banking,False
C10439,Standard,Monthly,613.39,UPI,False
C10440,Basic,Monthly,356.01,Credit Card,False
C10441,Basic,Annual,423.73,Wallet,True
C10442,Premium,Monthly,1380.59,UPI,True
C10443,Basic,Monthly,301.08,Credit Card,False
C10444,Basic,Annual,364.24,Wallet,True
C10445,Premium,Monthly,1106.17,Debit Card,True
C10446,Premium,Monthly,1498.39,Wallet,True
C10447,Premium,Monthly,1334.49,Credit Card,False
C10448,Standard,Monthly,720.7,Credit Card,False
C10449,Basic,Monthly,314.13,UPI,False
C10450,Basic,Monthly,418.73,Credit Card,False
C10451,Standard,Monthly,791.51,Credit Card,False
C10452,Standard,Monthly,843.92,UPI,True
C10453,Basic,Annual,356.72,Credit Card,True
C10454,Premium,Annual,1489.71,Wallet,True
C10455,Basic,Monthly,386.89,Debit Card,False
C10456,Standard,Monthly,687.78,Net Banking,True
C10457,Basic,Monthly,368.69,Debit Card,False
C10458,Standard,Monthly,754.88,UPI,False
C10459,Basic,Monthly,486.34,Debit Card,False
C10460,Basic,Annual,446.03,UPI,True
C10461,Basic,Monthly,414.42,Debit Card,False
C10462,Standard,Annual,647.84,Credit Card,True
C10463,Standard,Monthly,643.81,Credit Card,True
C10464,Standard,Monthly,749.66,Credit Card,True
C10465,Premium,Annual,1363.35,Debit Card,True
C10466,Basic,Annual,449.2,UPI,True
C10467,Basic,Annual,344.18,Credit Card,True
C10468,Premium,Annual,1049.05,Credit Card,True
C10469,Basic,Annual,375.89,Wallet,True
C10470,Premium,Annual,1458.09,UPI,True
C10471,Basic,Monthly,408.07,Wallet,True
C10472,Premium,Annual,1159.05,Wallet,False
C10473,Basic,Annual,363.73,Credit Card,True
C10474,Premium,Monthly,1065.04,Wallet,True
C10475,Standard,Monthly,740.97,Credit Card,False
C10476,Premium,Monthly,1394.68,Wallet,False
C10477,Basic,Annual,492.71,UPI,False
C10478,Standard,Monthly,749.48,UPI,True
C10479,Premium,Annual,1082.61,UPI,True
C10480,Standard,Monthly,803.89,Net Banking,False
C10481,Standard,Monthly,826.04,UPI,True
C10482,Standard,Monthly,620.51,Debit Card,False
C10483,Standard,Monthly,854.04,Credit Card,False
C10484,Standard,Monthly,847.8,UPI,False
C10485,Standard,Monthly,740.76,Credit Card,False
C10486,Premium,Monthly,1279.21,UPI,True
C10487,Basic,Annual,441.68,UPI,True
C10488,Basic,Monthly,434.35,Debit Card,False
C10489,Premium,Monthly,1007.27,UPI,False
C10490,Premium,Monthly,1060.22,UPI,False
C10491,Standard,Monthly,647.78,Wallet,False
C10492,Standard,Monthly,825.7,Credit Card,False
C10493,Basic,Annual,387.02,Wallet,True
C10494,Basic,Monthly,408.1,Wallet,False
C10495,Standard,Monthly,830.81,Net Banking,False
C10496,Basic,Annual,367.2,Net Banking,False
C10497,Standard,Monthly,823.67,UPI,True
C10498,Basic,Monthly,387.46,Credit Card,False
C10499,Premium,Monthly,1187.59,UPI,False
C10500,Premium,Annual,1165.52,UPI,True
C10501,Standard,Annual,888.48,Wallet,True
C10502,Standard,Annual,830.59,UPI,True
C10503,Basic,Monthly,303.04,UPI,False
C10504,Premium,Annual,1477.71,UPI,True
C10505,Standard,Annual,831.63,Credit Card,True
C10506,Basic,Annual,328.83,Credit Card,True
C10507,Premium,Annual,1037.17,UPI,False
C10508,Premium,Monthly,1153.1,Credit Card,True
C10509,Premium,Monthly,1311.09,Credit Card,True
C10510,Standard,Monthly,783.96,UPI,True
C10511,Standard,Monthly,681.76,UPI,False
C10512,Basic,Annual,388.13,UPI,False
C10513,Premium,Annual,1104.95,Net Banking,True
C10514,Premium,Annual,1024.29,Credit Card,True
C10515,Basic,Monthly,402.39,Credit Card,False
C10516,Basic,Monthly,368.4,UPI,False
C10517,Basic,Monthly,407.58,Net Banking,False
C10518,Premium,Monthly,1472.25,UPI,True
C10519,Premium,Monthly,1070.69,Credit Card,False
C10520,Basic,Annual,299.39,UPI,True
C10521,Standard,Monthly,622.06,Net Banking,True
C10522,Basic,Annual,391.54,Credit Card,False
C10523,Premium,Monthly,1352.47,Credit Card,False
C10524,Premium,Annual,1289.38,UPI,False
C10525,Premium,Monthly,1246.45,Credit Card,False
C10526,Standard,Monthly,705.19,Debit Card,False
C10527,Basic,Annual,360.99,Credit Card,True
C10528,Basic,Monthly,374.26,Credit Card,False
C10529,Basic,Annual,421.33,Debit Card,True
C10530,Premium,Monthly,1082.88,Credit Card,False
C10531,Premium,Monthly,1384.68,Credit Card,False
C10532,Premium,Monthly,1286.63,Net Banking,False
C10533,Premium,Annual,1133.58,Credit Card,False
C10534,Standard,Monthly,749.35,UPI,False
C10535,Standard,Monthly,887.83,Net Banking,False
C10536,Premium,Annual,1009.25,Credit Card,True
C10537,Premium,Monthly,1098.76,Credit Card,False
C10538,Basic,Annual,388.68,UPI,False
C10539,Standard,Monthly,790.53,Debit Card,False
C10540,Basic,Monthly,341.45,Debit Card,False
C10541,Premium,Monthly,1464.7,Net Banking,False
C10542,Standard,Monthly,791.77,Credit Card,False
C10543,Basic,Monthly,474.49,UPI,False
C10544,Standard,Annual,697.8,Wallet,True
C10545,Standard,Monthly,847.69,Credit Card,False
C10546,Basic,Monthly,374.64,Credit Card,True
C10547,Basic,Annual,349.55,UPI,True
C10548,Standard,Monthly,872.5,Wallet,False
C10549,Standard,Monthly,626.67,Credit Card,True
C10550,Standard,Monthly,881.87,Debit Card,False
C10551,Standard,Monthly,736.55,Credit Card,False
C10552,Premium,Monthly,1495.31,Debit Card,False
C10553,Standard,Monthly,760.88,Credit Card,False
C10554,Standard,Monthly,826.25,Debit Card,True
C10555,Premium,Monthly,1002.54,UPI,False
C10556,Basic,Annual,398.33,Wallet,True
C10557,Basic,Annual,446.49,Net Banking,True
C10558,Basic,Annual,455.57,Net Banking,True
C10559,Standard,Annual,646.41,Credit Card,True
C10560,Standard,Annual,724.69,Credit Card,True
C10561,Standard,Annual,724.72,UPI,True
C10562,Basic,Monthly,319.73,UPI,True
C10563,Basic,Annual,387.61,UPI,False
C10564,Basic,Monthly,460.42,Credit Card,False
C10565,Basic,Monthly,359.04,Debit Card,True
C10566,Standard,Monthly,728.77,Credit Card,True
C10567,Basic,Monthly,491.19,Debit Card,False
C10568,Basic,Monthly,305.34,Credit Card,True
C10569,Premium,Monthly,1294.76,Net Banking,False
C10570,Basic,Monthly,447.69,Credit Card,True
C10571,Standard,Annual,827.26,Wallet,True
C10572,Standard,Annual,813.78,Net Banking,True
C10573,Basic,Annual,444.29,UPI,True
C10574,Standard,Monthly,616.7,Wallet,False
C10575,Premium,Monthly,1266.07,Credit Card,False
