customer_id,plan,contract_type,monthly_charges,tenure_months,monthly_usage_hours,support_tickets,auto_renewal,risk_score,risk_level
C10103,Premium,Annual,1261.54,35,30.3,3,True,1,Medium Risk
C10104,Basic,Annual,446.75,21,66.0,1,False,1,Medium Risk
C10105,Basic,Monthly,474.32,16,49.1,2,False,2,Medium Risk
C10107,Basic,Annual,352.6,19,36.8,3,True,1,Medium Risk
C10110,Basic,Monthly,349.74,0,49.4,2,False,3,High Risk
C10111,Basic,Monthly,495.73,27,40.0,2,False,2,Medium Risk
C10112,Standard,Annual,672.13,31,13.0,5,True,2,Medium Risk
C10113,Basic,Monthly,481.75,3,18.4,4,False,5,High Risk
C10114,Standard,Monthly,752.93,23,43.8,4,False,3,High Risk
C10118,Premium,Monthly,1053.82,13,29.6,4,True,2,Medium Risk
C10119,Standard,Annual,682.35,21,32.7,3,True,1,Medium Risk
C10121,Premium,Monthly,1379.45,1,46.5,3,False,4,High Risk
C10122,Premium,Monthly,1059.46,9,48.2,2,False,3,High Risk
C10123,Standard,Monthly,775.48,19,56.5,4,False,3,High Risk
C10124,Basic,Annual,484.36,23,15.6,4,True,2,Medium Risk
C10125,Standard,Monthly,683.37,24,14.2,5,True,3,High Risk
C10126,Basic,Monthly,470.71,27,67.8,2,True,1,Medium Risk
C10128,Basic,Annual,307.83,3,18.0,3,True,3,High Risk
C10129,Basic,Monthly,440.28,15,22.2,5,True,2,Medium Risk
C10130,Basic,Monthly,392.19,35,39.3,3,False,3,High Risk
C10131,Basic,Monthly,465.88,4,57.5,2,False,3,High Risk
C10132,Basic,Monthly,422.26,14,36.1,2,False,2,Medium Risk
C10134,Standard,Monthly,824.22,8,48.8,2,False,3,High Risk
C10135,Standard,Annual,809.95,9,53.3,2,False,2,Medium Risk
C10138,Premium,Monthly,1302.0,25,66.6,1,False,2,Medium Risk
C10139,Basic,Monthly,429.58,1,16.3,5,False,5,High Risk
C10140,Basic,Annual,346.99,30,61.1,2,True,0,Low Risk
C10141,Premium,Annual,1415.81,13,23.3,4,False,2,Medium Risk
C10142,Basic,Monthly,396.83,24,65.1,2,False,2,Medium Risk
C10143,Basic,Annual,494.94,35,62.8,1,False,1,Medium Risk
C10145,Basic,Monthly,448.46,8,29.0,4,False,4,High Risk
C10146,Premium,Monthly,1022.68,31,4.7,5,False,4,High Risk
C10147,Standard,Annual,618.34,21,33.1,3,False,2,Medium Risk
C10149,Basic,Monthly,360.92,20,31.9,4,True,2,Medium Risk
C10150,Basic,Monthly,318.23,17,39.0,2,True,1,Medium Risk
C10151,Basic,Monthly,380.16,16,75.8,3,False,3,High Risk
C10153,Basic,Monthly,449.18,13,61.7,1,True,1,Medium Risk
C10155,Standard,Monthly,623.85,20,21.3,4,True,2,Medium Risk
C10156,Basic,Monthly,496.94,2,29.7,6,False,4,High Risk
C10157,Premium,Annual,1448.14,16,27.8,3,True,1,Medium Risk
C10158,Standard,Monthly,887.34,3,51.9,2,True,2,Medium Risk
C10159,Basic,Annual,441.94,23,30.8,6,True,1,Medium Risk
C10160,Standard,Annual,714.3,29,76.9,1,True,0,Low Risk
C10161,Basic,Annual,430.54,29,6.0,4,True,2,Medium Risk
C10162,Basic,Monthly,483.69,3,33.5,3,True,3,High Risk
C10163,Basic,Annual,338.88,18,14.5,4,True,2,Medium Risk
C10164,Basic,Monthly,359.78,13,45.2,2,False,2,Medium Risk
C10165,Basic,Monthly,488.18,2,63.7,1,True,2,Medium Risk
C10166,Premium,Annual,1288.53,31,69.6,2,True,0,Low Risk
C10167,Standard,Monthly,732.56,4,51.5,2,False,3,High Risk
C10168,Standard,Annual,706.4,0,33.2,3,True,2,Medium Risk
C10169,Basic,Annual,307.13,28,47.3,3,True,1,Medium Risk
C10170,Standard,Annual,831.65,30,58.8,1,True,0,Low Risk
C10172,Basic,Annual,473.62,9,60.4,2,False,2,Medium Risk
C10173,Basic,Annual,441.62,33,17.9,4,False,3,High Risk
C10174,Standard,Monthly,684.18,4,59.1,2,False,3,High Risk
C10175,Standard,Monthly,622.18,2,40.2,3,True,3,High Risk
C10176,Standard,Monthly,880.37,18,39.8,4,False,3,High Risk
C10177,Premium,Monthly,1049.23,8,62.2,1,False,3,High Risk
C10179,Standard,Annual,690.86,30,25.3,3,False,2,Medium Risk
C10180,Basic,Annual,498.06,23,54.6,3,True,1,Medium Risk
C10181,Premium,Annual,1106.88,35,48.4,4,True,1,Medium Risk
C10182,Standard,Monthly,731.68,4,63.0,1,True,2,Medium Risk
C10183,Premium,Monthly,1350.68,10,44.9,3,False,4,High Risk
C10184,Standard,Annual,616.32,32,48.2,3,True,1,Medium Risk
C10185,Premium,Annual,1130.27,28,15.7,7,True,2,Medium Risk
C10186,Basic,Monthly,345.38,7,39.7,3,False,4,High Risk
C10187,Basic,Monthly,381.85,18,64.2,2,False,2,Medium Risk
C10189,Basic,Annual,349.21,16,39.0,4,True,1,Medium Risk
C10195,Basic,Monthly,450.92,13,19.7,4,False,4,High Risk
C10197,Basic,Monthly,472.03,11,48.2,2,False,3,High Risk
C10198,Standard,Monthly,605.28,13,27.6,3,False,3,High Risk
C10200,Premium,Monthly,1164.58,9,67.1,1,False,3,High Risk
C10202,Basic,Annual,459.95,12,77.7,1,True,0,Low Risk
C10203,Standard,Monthly,688.27,35,26.9,4,True,2,Medium Risk
C10204,Basic,Annual,417.67,34,49.7,2,True,0,Low Risk
C10206,Standard,Monthly,746.29,7,61.8,1,True,2,Medium Risk
C10207,Basic,Annual,490.84,36,35.2,2,True,0,Low Risk
C10209,Basic,Monthly,313.62,22,43.7,2,False,2,Medium Risk
C10210,Basic,Annual,434.22,34,35.2,3,True,1,Medium Risk
C10211,Basic,Monthly,362.59,8,75.8,1,False,3,High Risk
C10213,Basic,Monthly,368.2,8,64.5,1,False,3,High Risk
C10214,Basic,Monthly,422.38,7,42.3,2,False,3,High Risk
C10215,Basic,Monthly,383.08,7,2.6,6,True,4,High Risk
C10216,Basic,Monthly,330.59,2,47.3,2,True,2,Medium Risk
C10217,Premium,Annual,1135.92,30,55.7,2,True,0,Low Risk
C10218,Standard,Monthly,845.41,6,26.6,3,False,4,High Risk
C10220,Basic,Annual,346.67,27,47.9,2,True,0,Low Risk
C10221,Standard,Monthly,654.93,9,66.9,1,False,3,High Risk
C10222,Standard,Monthly,809.42,4,12.2,4,False,5,High Risk
C10223,Standard,Monthly,896.36,7,14.0,5,False,5,High Risk
C10226,Standard,Monthly,873.93,4,31.3,3,False,4,High Risk
C10228,Standard,Monthly,847.19,20,63.3,2,True,1,Medium Risk
C10229,Basic,Monthly,409.2,19,63.9,1,False,2,Medium Risk
C10231,Basic,Monthly,478.15,11,64.7,0,False,3,High Risk
C10233,Basic,Annual,358.66,25,32.8,5,True,1,Medium Risk
C10235,Premium,Annual,1347.25,22,3.9,5,False,3,High Risk
C10237,Basic,Monthly,417.98,16,40.4,4,False,3,High Risk
C10238,Premium,Monthly,1469.1,20,48.2,2,False,2,Medium Risk
C10239,Basic,Monthly,490.29,26,48.6,3,False,3,High Risk
C10240,Basic,Monthly,307.46,16,4.7,6,False,4,High Risk
C10241,Standard,Monthly,673.48,32,36.3,4,False,3,High Risk
C10242,Basic,Monthly,460.28,16,31.6,4,False,3,High Risk
C10243,Premium,Annual,1367.37,13,60.1,1,True,0,Low Risk
C10244,Basic,Monthly,411.65,27,59.9,1,False,2,Medium Risk
C10245,Standard,Monthly,726.71,10,64.3,1,True,2,Medium Risk
C10247,Standard,Monthly,697.54,33,53.9,3,True,2,Medium Risk
C10249,Premium,Monthly,1050.94,33,33.7,4,False,3,High Risk
C10250,Standard,Monthly,616.97,13,5.6,6,True,3,High Risk
C10251,Basic,Monthly,365.7,18,35.6,3,False,3,High Risk
C10252,Basic,Monthly,471.52,1,50.2,2,False,3,High Risk
C10253,Basic,Monthly,459.43,13,65.5,1,True,1,Medium Risk
C10254,Basic,Annual,459.61,22,68.1,1,True,0,Low Risk
C10255,Premium,Monthly,1095.8,2,58.3,1,False,3,High Risk
C10256,Premium,Annual,1489.07,15,41.3,2,True,0,Low Risk
C10258,Premium,Annual,1034.91,35,41.8,3,True,1,Medium Risk
C10259,Premium,Monthly,1425.49,18,42.3,3,True,2,Medium Risk
C10260,Standard,Monthly,791.35,2,66.3,1,False,3,High Risk
C10261,Basic,Annual,432.07,25,56.3,1,True,0,Low Risk
C10262,Standard,Monthly,804.17,8,39.1,3,False,4,High Risk
C10263,Basic,Monthly,375.2,17,69.3,0,True,1,Medium Risk
C10264,Premium,Annual,1008.9,25,19.1,4,True,2,Medium Risk
C10265,Basic,Annual,357.36,31,33.9,4,False,2,Medium Risk
C10266,Basic,Monthly,388.71,18,34.7,4,False,3,High Risk
C10267,Standard,Monthly,675.68,3,43.9,2,False,3,High Risk
C10268,Premium,Annual,1001.37,30,69.5,1,True,0,Low Risk
C10269,Standard,Monthly,616.0,20,60.9,3,False,3,High Risk
C10272,Basic,Monthly,351.26,1,47.6,2,False,3,High Risk
C10274,Basic,Annual,456.57,32,27.4,4,True,1,Medium Risk
C10275,Standard,Annual,881.9,3,82.1,1,True,1,Medium Risk
C10276,Standard,Monthly,670.42,26,56.5,3,False,3,High Risk
C10277,Standard,Monthly,816.7,3,44.4,2,False,3,High Risk
C10278,Standard,Annual,690.23,24,44.0,3,True,1,Medium Risk
C10279,Basic,Monthly,325.58,3,56.8,2,False,3,High Risk
C10280,Standard,Monthly,775.0,15,36.7,2,True,1,Medium Risk
C10283,Premium,Monthly,1439.44,8,32.6,3,True,3,High Risk
C10284,Basic,Annual,334.74,33,67.8,1,True,0,Low Risk
C10285,Basic,Annual,319.24,26,42.7,3,True,1,Medium Risk
C10288,Basic,Monthly,440.63,28,52.9,2,True,1,Medium Risk
C10289,Standard,Annual,776.86,29,45.1,2,True,0,Low Risk
C10290,Standard,Monthly,832.41,18,30.4,4,True,2,Medium Risk
C10291,Standard,Monthly,780.53,25,9.2,4,True,3,High Risk
C10292,Standard,Monthly,613.89,14,37.4,3,False,3,High Risk
C10293,Basic,Annual,401.66,19,0.0,5,True,2,Medium Risk
C10294,Standard,Annual,890.2,27,31.5,4,True,1,Medium Risk
C10295,Premium,Monthly,1226.59,9,73.0,1,False,3,High Risk
C10296,Premium,Monthly,1034.41,11,67.4,2,False,3,High Risk
C10298,Standard,Annual,767.2,33,55.7,3,False,2,Medium Risk
C10299,Premium,Monthly,1283.17,20,42.2,3,False,3,High Risk
C10301,Standard,Annual,628.84,28,56.4,2,True,0,Low Risk
C10302,Premium,Monthly,1081.31,35,58.9,2,False,2,Medium Risk
C10303,Premium,Monthly,1004.98,3,41.8,2,True,2,Medium Risk
C10304,Basic,Monthly,472.04,3,62.2,2,True,2,Medium Risk
C10305,Standard,Annual,893.18,36,34.9,3,True,1,Medium Risk
C10306,Basic,Monthly,403.3,7,58.9,2,False,3,High Risk
C10307,Basic,Monthly,385.56,0,65.8,1,False,3,High Risk
C10309,Premium,Annual,1345.91,19,54.2,1,True,0,Low Risk
C10310,Basic,Monthly,353.41,31,35.2,3,True,2,Medium Risk
C10313,Premium,Annual,1097.97,9,53.3,4,True,2,Medium Risk
C10314,Basic,Annual,351.02,24,30.3,4,True,1,Medium Risk
C10316,Basic,Monthly,300.16,16,44.4,2,True,1,Medium Risk
C10318,Standard,Annual,847.34,30,31.2,5,True,1,Medium Risk
C10319,Premium,Monthly,1460.48,4,18.7,3,False,5,High Risk
C10321,Basic,Monthly,360.46,6,42.1,3,False,4,High Risk
C10323,Basic,Monthly,484.6,6,18.5,4,False,5,High Risk
C10325,Premium,Monthly,1279.11,31,14.6,4,True,3,High Risk
C10328,Basic,Annual,457.04,26,40.7,3,True,1,Medium Risk
C10331,Basic,Monthly,459.37,15,51.3,2,False,2,Medium Risk
C10332,Premium,Annual,1385.17,34,44.1,2,True,0,Low Risk
C10333,Standard,Monthly,614.17,28,57.6,2,False,2,Medium Risk
C10334,Basic,Monthly,425.1,28,61.0,1,False,2,Medium Risk
C10335,Basic,Monthly,393.54,11,56.1,1,False,3,High Risk
C10339,Basic,Monthly,422.23,0,64.7,1,False,3,High Risk
C10340,Basic,Monthly,317.03,11,12.8,5,True,4,High Risk
C10341,Standard,Monthly,692.12,17,23.1,4,False,3,High Risk
C10342,Basic,Monthly,449.6,10,7.0,4,True,4,High Risk
C10343,Basic,Annual,364.57,36,53.7,3,True,1,Medium Risk
C10344,Standard,Monthly,831.05,8,44.6,3,False,4,High Risk
C10345,Basic,Annual,369.86,19,29.9,4,True,1,Medium Risk
C10349,Basic,Monthly,331.35,13,18.7,5,False,4,High Risk
C10351,Basic,Monthly,413.81,3,54.7,3,True,3,High Risk
C10352,Basic,Monthly,326.66,12,48.6,3,False,3,High Risk
C10353,Basic,Monthly,385.22,32,45.0,3,False,3,High Risk
C10355,Basic,Monthly,344.3,10,24.7,5,False,4,High Risk
C10356,Standard,Monthly,896.04,32,67.3,2,False,2,Medium Risk
C10358,Premium,Monthly,1003.64,20,33.1,3,True,2,Medium Risk
C10359,Standard,Annual,805.79,12,72.6,2,False,1,Medium Risk
C10360,Standard,Monthly,799.37,9,37.3,6,True,3,High Risk
C10361,Basic,Monthly,301.51,12,82.1,1,True,1,Medium Risk
C10362,Standard,Monthly,649.63,10,60.8,3,False,4,High Risk
C10363,Premium,Monthly,1060.94,34,17.0,4,True,3,High Risk
C10364,Premium,Annual,1360.67,29,63.1,1,True,0,Low Risk
C10365,Basic,Monthly,387.02,32,48.2,2,False,2,Medium Risk
C10367,Basic,Monthly,380.33,11,54.5,2,True,2,Medium Risk
C10372,Basic,Monthly,339.39,0,10.8,4,True,4,High Risk
C10373,Basic,Monthly,372.99,0,40.1,2,False,3,High Risk
C10375,Basic,Monthly,322.46,2,31.6,3,False,4,High Risk
C10376,Premium,Monthly,1048.42,10,32.3,5,True,3,High Risk
C10377,Basic,Annual,479.62,18,71.4,1,True,0,Low Risk
C10378,Standard,Annual,749.82,15,23.5,4,True,1,Medium Risk
C10379,Basic,Monthly,397.55,10,46.6,2,True,2,Medium Risk
C10380,Basic,Monthly,462.03,27,15.1,4,True,3,High Risk
C10381,Basic,Monthly,357.16,16,43.3,2,True,1,Medium Risk
C10382,Standard,Monthly,670.53,13,58.2,4,True,2,Medium Risk
C10383,Basic,Monthly,420.08,21,41.0,3,False,3,High Risk
C10384,Basic,Monthly,306.59,10,20.8,4,True,3,High Risk
C10385,Standard,Monthly,642.16,22,5.3,5,False,4,High Risk
C10386,Standard,Monthly,825.55,23,64.7,1,True,1,Medium Risk
C10387,Premium,Annual,1362.71,26,25.7,3,False,2,Medium Risk
C10388,Standard,Monthly,892.9,21,71.4,1,False,2,Medium Risk
C10389,Premium,Annual,1184.87,15,29.7,3,False,2,Medium Risk
C10391,Standard,Monthly,609.41,20,58.3,3,True,2,Medium Risk
C10395,Basic,Monthly,363.34,10,16.8,4,True,4,High Risk
C10396,Basic,Annual,350.45,9,66.5,1,True,1,Medium Risk
C10398,Standard,Annual,665.39,25,27.5,4,True,1,Medium Risk
C10399,Basic,Monthly,329.14,7,24.7,3,True,3,High Risk
C10400,Standard,Annual,870.46,36,15.5,4,True,2,Medium Risk
C10401,Basic,Monthly,433.76,29,51.6,1,False,2,Medium Risk
C10402,Standard,Monthly,632.01,12,11.8,4,True,3,High Risk
C10403,Premium,Monthly,1436.19,17,44.3,3,False,3,High Risk
C10404,Basic,Monthly,304.41,14,3.4,5,False,4,High Risk
C10405,Standard,Monthly,709.98,30,27.3,4,False,3,High Risk
C10406,Basic,Annual,320.51,33,39.0,4,True,1,Medium Risk
C10407,Premium,Monthly,1263.0,14,13.8,4,True,3,High Risk
C10410,Basic,Monthly,416.43,5,59.1,2,True,2,Medium Risk
C10412,Standard,Monthly,864.04,27,0.0,5,False,4,High Risk
C10414,Basic,Monthly,458.38,20,42.7,3,False,3,High Risk
C10415,Basic,Monthly,459.15,12,63.6,2,False,2,Medium Risk
C10416,Standard,Monthly,650.57,8,74.7,2,False,3,High Risk
C10417,Standard,Monthly,728.2,34,55.7,2,False,2,Medium Risk
C10418,Premium,Annual,1216.3,27,29.4,3,False,2,Medium Risk
C10419,Standard,Monthly,801.86,4,58.3,2,True,2,Medium Risk
C10421,Standard,Monthly,897.55,5,14.7,4,False,5,High Risk
C10423,Basic,Monthly,453.7,14,49.9,2,False,2,Medium Risk
C10424,Basic,Annual,431.79,21,19.4,3,True,2,Medium Risk
C10425,Standard,Monthly,869.87,0,48.6,2,True,2,Medium Risk
C10427,Premium,Monthly,1122.43,3,46.1,3,False,4,High Risk
C10428,Basic,Annual,469.79,26,43.1,4,False,2,Medium Risk
C10429,Basic,Annual,411.15,24,21.0,5,True,1,Medium Risk
C10430,Standard,Annual,666.03,34,69.7,3,False,2,Medium Risk
C10432,Basic,Annual,498.53,36,80.8,0,False,1,Medium Risk
C10433,Premium,Annual,1285.54,33,40.3,3,True,1,Medium Risk
C10434,Premium,Monthly,1017.68,10,31.4,4,False,4,High Risk
C10435,Premium,Monthly,1368.45,15,58.1,4,False,3,High Risk
C10436,Basic,Annual,378.26,24,15.0,5,True,2,Medium Risk
C10437,Premium,Monthly,1472.91,11,26.9,3,True,3,High Risk
C10439,Premium,Annual,1149.57,33,19.8,4,True,2,Medium Risk
C10440,Premium,Annual,1228.8,31,56.7,4,False,2,Medium Risk
C10441,Basic,Monthly,397.47,16,18.5,4,False,4,High Risk
C10442,Basic,Monthly,498.6,21,35.7,2,True,1,Medium Risk
C10443,Basic,Annual,416.55,30,32.4,3,False,2,Medium Risk
C10444,Standard,Monthly,874.17,21,5.1,5,True,3,High Risk
C10445,Basic,Annual,305.17,4,64.6,1,True,1,Medium Risk
C10446,Basic,Monthly,331.49,28,67.0,1,True,1,Medium Risk
C10447,Standard,Annual,757.32,29,40.8,2,False,1,Medium Risk
C10448,Basic,Monthly,411.11,24,52.6,4,True,2,Medium Risk
C10449,Basic,Monthly,316.83,2,45.4,4,True,3,High Risk
C10450,Premium,Monthly,1172.92,23,64.4,1,False,2,Medium Risk
C10451,Basic,Annual,382.84,33,34.2,3,True,1,Medium Risk
C10452,Basic,Monthly,404.01,2,43.3,3,False,4,High Risk
C10453,Premium,Monthly,1400.44,4,70.9,2,True,2,Medium Risk
C10454,Basic,Annual,418.84,25,64.5,1,True,0,Low Risk
C10455,Basic,Annual,459.14,23,55.2,2,True,0,Low Risk
C10456,Premium,Monthly,1384.85,22,59.4,1,False,2,Medium Risk
C10457,Standard,Monthly,718.32,4,41.9,2,True,2,Medium Risk
C10458,Standard,Monthly,756.48,4,35.3,3,True,3,High Risk
C10459,Basic,Monthly,315.41,5,42.0,3,True,3,High Risk
C10460,Basic,Monthly,458.14,32,25.5,5,True,2,Medium Risk
C10462,Basic,Monthly,349.5,20,13.4,4,False,4,High Risk
C10463,Basic,Monthly,363.17,15,43.0,2,False,2,Medium Risk
C10464,Standard,Monthly,877.49,18,31.2,3,False,3,High Risk
C10465,Standard,Annual,841.4,14,58.1,1,True,0,Low Risk
C10466,Standard,Monthly,842.96,11,25.2,3,False,4,High Risk
C10468,Standard,Monthly,806.03,9,21.0,4,False,4,High Risk
C10469,Basic,Annual,382.23,35,51.8,2,True,0,Low Risk
C10471,Basic,Annual,419.52,19,41.3,3,True,1,Medium Risk
C10474,Standard,Monthly,664.16,9,58.4,2,False,3,High Risk
C10475,Standard,Monthly,827.65,24,62.0,3,False,3,High Risk
C10476,Standard,Monthly,667.71,1,24.1,4,True,3,High Risk
C10477,Premium,Annual,1181.1,12,63.1,1,False,1,Medium Risk
C10479,Standard,Annual,643.18,21,79.9,0,True,0,Low Risk
C10480,Standard,Annual,853.53,19,70.4,1,True,0,Low Risk
C10481,Basic,Annual,398.97,25,35.7,3,True,1,Medium Risk
C10482,Basic,Annual,498.8,23,32.0,5,True,1,Medium Risk
C10483,Basic,Monthly,437.6,9,2.7,6,False,5,High Risk
C10484,Standard,Annual,719.28,28,21.3,5,False,2,Medium Risk
C10486,Basic,Annual,462.64,35,61.5,3,True,1,Medium Risk
C10487,Premium,Annual,1092.39,15,47.9,2,True,0,Low Risk
C10490,Standard,Monthly,658.52,1,43.2,2,True,2,Medium Risk
C10492,Basic,Annual,482.62,25,28.8,3,True,1,Medium Risk
C10493,Basic,Annual,327.31,13,49.8,3,True,1,Medium Risk
C10494,Standard,Annual,866.94,16,62.0,1,True,0,Low Risk
C10495,Premium,Annual,1317.16,22,44.2,3,False,2,Medium Risk
C10496,Basic,Monthly,390.67,11,12.4,4,False,5,High Risk
C10497,Standard,Monthly,600.92,5,48.9,2,True,2,Medium Risk
C10499,Basic,Monthly,450.92,5,58.7,2,False,3,High Risk
C10500,Basic,Monthly,388.72,21,24.6,3,True,2,Medium Risk
C10501,Premium,Monthly,1391.05,18,33.1,3,False,3,High Risk
C10502,Basic,Monthly,417.56,10,66.7,2,False,3,High Risk
C10503,Standard,Annual,631.6,23,34.5,3,False,2,Medium Risk
C10507,Standard,Monthly,656.73,2,16.8,4,True,4,High Risk
C10508,Premium,Annual,1068.07,36,18.2,5,True,2,Medium Risk
C10511,Basic,Annual,357.12,27,47.7,3,True,1,Medium Risk
C10513,Standard,Annual,809.18,31,42.1,4,True,1,Medium Risk
C10516,Basic,Monthly,457.69,27,47.3,3,False,3,High Risk
C10517,Standard,Annual,659.88,26,19.6,3,True,2,Medium Risk
C10518,Basic,Annual,463.75,26,44.7,3,True,1,Medium Risk
C10520,Basic,Annual,466.12,28,54.2,2,True,0,Low Risk
C10521,Standard,Monthly,786.15,4,37.7,2,True,2,Medium Risk
C10522,Standard,Monthly,658.45,7,46.2,2,False,3,High Risk
C10523,Standard,Annual,624.34,17,24.7,6,True,1,Medium Risk
C10524,Basic,Annual,403.15,20,49.5,3,True,1,Medium Risk
C10526,Standard,Monthly,700.85,5,36.7,4,True,3,High Risk
C10529,Standard,Monthly,896.48,10,21.9,4,False,4,High Risk
C10530,Standard,Monthly,885.89,1,51.2,2,False,3,High Risk
C10531,Premium,Annual,1308.85,15,45.9,2,True,0,Low Risk
C10532,Basic,Monthly,439.57,33,14.7,6,False,4,High Risk
C10534,Basic,Monthly,313.33,7,2.1,5,False,5,High Risk
C10535,Basic,Monthly,382.76,5,58.7,2,True,2,Medium Risk
C10536,Standard,Annual,776.18,35,40.7,2,True,0,Low Risk
C10537,Basic,Monthly,347.46,11,45.3,2,True,2,Medium Risk
C10538,Standard,Monthly,863.61,35,69.7,3,False,3,High Risk
C10539,Basic,Monthly,385.3,19,52.3,2,False,2,Medium Risk
C10541,Basic,Monthly,337.5,26,68.1,1,True,1,Medium Risk
